#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7243.80846585881     All      0.734726054582362          -0.29762874721317445       0.381550827497716         -0.31924506137731246       
Zeropoint     AB|PS|PS_r                5980.605455044291    All      1.1044970370683624         0.19159077806492064        -0.3727953721186415       -0.31399974755169247       
Zeropoint     AB|PS|PS_g                4709.389886845897    All      -1.125162426366861         1.147721489041409          -0.011754788768658637     0.7398285046732781         
Zeropoint     AB|PS|PS_z                8324.903465978248    All      0.2853905120060756         -0.04104595580827208       -0.001568785038481643     -0.10640110467902922       
Check         All|All|All               All                  All      0.999451177289939          1.000637564084883          -0.004568118428065763     0.00018259106524395885     
Lambda        AB|PS|PS_i                7243.80846585881     All      -0.0001619757038124779     0.00022975560341131072     -0.00106921046697471      7.988582190496852e-05      
Lambda        AB|PS|PS_r                5980.605455044291    All      -0.00026907189196936996    5.0720816539683764e-05     -0.001459577963799893     3.903274510373564e-05      
Lambda        AB|PS|PS_g                4709.389886845897    All      -0.00046127629687159745    0.0003359854776864793      -0.0005006885909051494    0.00023735095687429033     
Lambda        AB|PS|PS_z                8324.903465978248    All      0.00037875603023140235     -2.5187158589595972e-05    4.057133064612316e-05     -0.00012976707378582392    
MWEBV         All|All|All               All                  All      -0.6810754186545496        -3.974183610344806         0.023934717215325103      -1.071605581573862         
Redshift      All|All|All               All                  All      8.588972493534294          -3.937561618382013         18.702293705642727        -3.24570679942777          
