#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7243.80846585881     All      0.8602244445621985         -0.7274261987704866        0.20004016224152155        -0.5082231729985657        
Zeropoint     AB|PS|PS_r                5980.605455044291    All      0.8418506694007146         0.803074086200839          -0.4469419530157226        -0.03257577549284352       
Zeropoint     AB|PS|PS_g                4709.389886845897    All      -1.0371823940658078        1.0512093603511241         0.16951110602693165        0.6878224025871732         
Zeropoint     AB|PS|PS_z                8324.903465978248    All      0.2840795477436187         0.008630390942476751       -0.009036486823310597      -0.0901261092820637        
Check         All|All|All               All                  All      0.9489722676407238         1.1354876387239532         -0.08642717157058          0.056897344813700304       
Lambda        AB|PS|PS_i                7243.80846585881     All      -1.1682371263150866e-05    0.000333410841535093       -0.0004767413477398463     9.113343588204721e-05      
Lambda        AB|PS|PS_r                5980.605455044291    All      -0.00010073826677205557    -0.00033943701281486185    -0.0007178215149937495     -0.00010978511192083062    
Lambda        AB|PS|PS_g                4709.389886845897    All      -0.0005442873650379657     0.0003339298439740578      -0.00046216598883674616    0.00026543989203302586     
Lambda        AB|PS|PS_z                8324.903465978248    All      0.00027726759892602215     0.00025290195679675075     1.2617040635267843e-05     -7.373650671739323e-06     
MWEBV         All|All|All               All                  All      -0.7120918450416056        -3.8151349535373136        -0.013823505041044015      -1.0113801070639514        
Redshift      All|All|All               All                  All      6.956401563396099          -0.32960479611272575       9.73620833233868           -1.9388097126965556        
