#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4042.8703239101264    All      -2.391365666315516        0.6409062389590048       -0.4483410772580892       0.967703315208522          
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5057.843474491406     All      3.3894912091448814        0.3607111533415974       0.4457955079490659        -0.9666795020241895        
Check         All|All|All                                All                   All      0.9981255428293652        1.0016173923006022       -0.0025455693090232767    0.0010238131843325338      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4042.8703239101264    All      -0.0019208166897618382    0.0004341981064780889    -0.0012652845700951484    0.0007106419576993133      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5057.843474491406     All      0.0006139856530874652     6.127537505217353e-05    -0.0034601229495769717    -0.00033444531665385564    
MWEBV         All|All|All                                All                   All      -0.8198365114529205       -3.690423633389983       0.0036512726047264413     -0.9348817255994186        
Redshift      All|All|All                                All                   All      9.264176810400695         -0.7555377996791179      16.427501174837783        -2.530666758673302         
