#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4042.8703239101264    All      -2.43193025084931         0.6563153354065321         -0.060380788028879806     1.003248670454686          
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5057.843474491406     All      3.4304237252345042        0.3437625144020018         0.053421088552330076      -1.003043166677796         
Check         All|All|All                                All                   All      0.9984934743851943        1.0000778498085339         -0.00695969947654973      0.00020550377688999255     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4042.8703239101264    All      -0.0020787384113119052    0.00041996637320324        -0.0009711607233923302    0.0007705719105571324      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5057.843474491406     All      0.0008149486291842103     -0.00031158619143949103    -0.0014529684051855154    -0.00043178875965280687    
MWEBV         All|All|All                                All                   All      -0.8062153816961466       -3.6971201636520235        0.007904145524495476      -0.9413100697130361        
Redshift      All|All|All                                All                   All      9.989152890170258         0.7937742263568026         5.942410139821286         -2.7300548777387426        
