#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5408.978719469433    All      0.5763028692846195         0.39537976246504236        -0.30272015903987093      -0.0724416184391008       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4385.865319907234    All      -1.1364934050580122        0.8304546352772224         0.07250786937036402       0.6439353805990145        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8277.096189550917    All      0.3569028997475988         -0.08449073884899683       0.12584883336476116       -0.13816037408000761      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6355.382588908456    All      1.201554361073283          -0.1431133057211209        0.10548719552267993       -0.4332950882761553       
Check         All|All|All                                    All                  All      0.9982667250474891         0.998230353172147          0.0011237392179341832     3.829980375075204e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5408.978719469433    All      -1.6188597314825898e-06    -1.1564506947235423e-05    -0.0015355884660714322    -7.176588503828634e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4385.865319907234    All      -0.00043102604932100804    0.00011167056328064442     -0.0010056613523371492    0.00013189609359331046    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8277.096189550917    All      -2.663259571024629e-05     3.420395844371381e-06      -5.08910573245772e-05     7.518213909169576e-06     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6355.382588908456    All      -0.00043407623793450856    -1.0371848062083766e-06    -0.0007578135866543798    0.00010723732630509777    
MWEBV         All|All|All                                    All                  All      -0.863214620194988         -4.103524663786606         0.0483960282020357        -1.0533158917680585       
Redshift      All|All|All                                    All                  All      4.777608071462737          -0.12839794512111702       1.3705661286841586        -1.5368854908645355       
