#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5408.978719469433    All      0.5720438544765769        0.4056490440458749        -0.1846048670437194       -0.06243833134061615       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4385.865319907234    All      -1.1527524216896676       0.8203190442612307        -0.07824111450268287      0.639202746991541          
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8277.096189550917    All      0.3553062482575298        -0.0848785556871956       0.10924492436971697       -0.13850757306386782       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6355.382588908456    All      1.224229496000915         -0.14306830710864027      0.15560812649022462       -0.43842980123139885       
Check         All|All|All                                    All                  All      0.9988271770453541        0.9980212255112697        0.0020070693135393336     -0.00017295864434185848    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5408.978719469433    All      5.253478810685855e-05     1.8443972282137672e-06    -0.0013401001611263407    -7.631404330715097e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4385.865319907234    All      -0.0005351765121021977    0.00019005560984322977    -0.0009888196664707563    0.00019210548131561362     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8277.096189550917    All      -3.091042656234849e-05    2.459594977125936e-06     -6.178547519970735e-05    8.112511868766946e-06      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6355.382588908456    All      -0.0003679210978965658    5.379276252595982e-06     -0.0005930788542116686    9.5129827727089e-05        
MWEBV         All|All|All                                    All                  All      -0.8606853496214617       -4.108212220016982        0.02450987923074176       -1.0567325788081139        
Redshift      All|All|All                                    All                  All      4.970863029228473         -0.5260854218162248       1.341128500935318         -1.7306885493213546        
