#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4434.68179578949     All      2.1919515028622465        0.7537107632245466        0.5555856130496377         -0.4436890914169053       
Zeropoint     AB|MEGACAMPSF|z           5112.574375707743    All      0.8611447289974515        0.12883945989798917       -0.15935663998245253       -0.24564727321728289      
Zeropoint     AB|MEGACAMPSF|r           3626.149323895593    All      -2.0515133234096625       0.11670991652543705       -0.39564660990551404       0.6886057506117408        
Check         All|All|All               All                  All      1.0015829084500354        0.9992601396479728        0.0005823631616711511      -0.0007306140224474511    
Lambda        AB|MEGACAMPSF|i           4434.68179578949     All      -0.0006433670890215791    -0.0001998854982104352    -0.002158303251363302      4.814138285810145e-05     
Lambda        AB|MEGACAMPSF|z           5112.574375707743    All      0.00020264001595526833    3.103934234685396e-05     -0.00012862826820606913    -6.163607373050353e-05    
Lambda        AB|MEGACAMPSF|r           3626.149323895593    All      -0.002999203268373813     2.481156120357408e-05     -0.0027195535395465767     0.0008636599331138457     
MWEBV         All|All|All               All                  All      -0.24895685602571715      -1.8966272521836913       0.002716885564613494       -0.5365792126500398       
Redshift      All|All|All               All                  All      9.591531272671881         1.3491675465918007        5.508494871747759          -2.4389902047721947       
