#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           4434.68179578949     All      2.2019159506279076        0.7490070138658211         0.5791699073337764         -0.44741454705451433       
Zeropoint     AB|MEGACAMPSF|z           5112.574375707743    All      0.8119620521775466        0.10125728332592843        -0.269806136875983         -0.24354013342137715       
Zeropoint     AB|MEGACAMPSF|r           3626.149323895593    All      -2.0100441337899047       0.1491267072871949         -0.3065338946936391        0.6896337776886224         
Check         All|All|All               All                  All      1.0038338690155495        0.9993910044789445         0.002829875764154277       -0.0013209027872690404     
Lambda        AB|MEGACAMPSF|i           4434.68179578949     All      -0.0005122201923146993    -0.00012264248410379975    -0.002102312452918968      3.30817270882739e-05       
Lambda        AB|MEGACAMPSF|z           5112.574375707743    All      0.0003273219953953065     3.6606308876766234e-05     -0.00035710333109943747    -0.00011063154491177954    
Lambda        AB|MEGACAMPSF|r           3626.149323895593    All      -0.003623868689577625     8.803939115072471e-05      -0.002991340089294096      0.0010756008105847097      
MWEBV         All|All|All               All                  All      -0.22996757228777498      -1.8966701548269072        -2.7823423387474122e-05    -0.5429011056508587        
Redshift      All|All|All               All                  All      10.194267962393317        0.99892206153811           6.3480855858977225         -2.7119407738069117        
