#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|FORS1|FORS1_R                    4397.011203996958    All      -0.42853459701677554      0.6883196642526457         2.454925463495198          0.4733482246802161         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_AMANULLAH_I    5278.829728373269    All      0.29156557613807954       0.02469098732849062        -1.2364040442366893        -0.14210486738436984       
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F675W                    4465.960536273       All      -2.4067798642990597       0.29204162092106856        -3.333927191592398         0.7303170879387525         
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F814W                    5347.691312777877    All      3.5500747784526023        -0.007793816754286809      2.1239077899168866         -1.0641346019505784        
Check         All|All|All                                      All                  All      1.006325893274846         0.997258455747918          0.00850201758299729        -0.002574156715979603      
Lambda        Linear_AB11_off|FORS1|FORS1_R                    4397.011203996958    All      2.9044717266561943e-05    -4.705698962502851e-05     -0.0001677631337310656     -3.2275327756594934e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_AMANULLAH_I    5278.829728373269    All      5.580903723242988e-05     8.851411929794798e-06      -0.00012089356294133555    -2.0690567891074288e-05    
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F675W                    4465.960536273       All      -0.002131985940212204     -3.59425868647397e-05      -0.004655991670197051      0.0004749747539187193      
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F814W                    5347.691312777877    All      0.0013466804932348408     -0.00011705026480199114    -7.139159015469392e-05     -0.0004799711419830701     
MWEBV         All|All|All                                      All                  All      -0.12939358483906593      -2.3763606218855315        -0.0113084527041916        -0.7324157312921629        
Redshift      All|All|All                                      All                  All      4.334924091273913         0.9913679888821747         5.160832238216099          -0.8588019823309879        
