#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|FORS1|FORS1_R                    4397.011203996958    All      -0.4461620429029296       0.7333110777793195         2.717864873515821          0.5054790255224484        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_AMANULLAH_I    5278.829728373269    All      0.2748263776075016        0.025107935014823113       -1.2875563518242372        -0.13879923869465766      
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F675W                    4465.960536273       All      -2.4330685111037975       0.23264840657759578        -3.7187016432027598        0.7023631246132297        
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F814W                    5347.691312777877    All      3.6228557388014133        0.012199219020558871       2.3475759478242986         -1.071348083038738        
Check         All|All|All                                      All                  All      1.018451562402188         1.0032666383922972         0.05918282631312266        -0.0023051715977175924    
Lambda        Linear_AB11_off|FORS1|FORS1_R                    4397.011203996958    All      3.12134612637384e-05      -8.847488501648267e-05     -0.0003411400442779246     -5.420994538967321e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_AMANULLAH_I    5278.829728373269    All      7.931571967152864e-05     1.9564349866193205e-06     -3.843655692093128e-06     -2.536998876701175e-05    
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F675W                    4465.960536273       All      -0.0017716580715160285    -4.6920715235481164e-05    -0.004017883457314761      0.0003825040138854805     
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F814W                    5347.691312777877    All      0.0010980244661892413     -0.00010207919083737639    -0.00016214870310685112    -0.000398149195228748     
MWEBV         All|All|All                                      All                  All      -0.12198477451562173      -2.3751854845615483        0.0026464272134096856      -0.7338235014715602       
Redshift      All|All|All                                      All                  All      4.491604789020833         1.143242859922644          4.06953555463716           -0.9090669570400319       
