#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4689.765179943149    All      -0.5105843320168391       0.4315769529397606         -0.22161978328838747       0.29700305363064844        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6070.681415548626    All      1.3357183618070436        0.014968005554205632       0.36875734029148843        -0.41375589597163          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4293.059355520073    All      -0.6793193954632485       0.5566755018951319         0.42235729619310025        0.4214520674061353         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5244.317448124075    All      0.26574049374184283       0.15090237209411939        -0.7957183492107993        -0.07291580960573386       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7422.33758739728     All      0.5886498518628218        -0.15662174715744825       0.23614420308210438        -0.23222144729577254       
Check         All|All|All                              All                  All      1.0002049799316204        0.9975010853257693         0.009920707067506251       -0.0004380318363526592     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4689.765179943149    All      -0.0004195168499026068    0.00033926439029662844     -0.00038683282596818424    0.0002298974407301609      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6070.681415548626    All      0.00010259583394789552    -9.010049757864247e-05     -0.0004741499885317147     -8.392667099523875e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4293.059355520073    All      -0.0006797114381579169    0.0005554067606779713      0.00042430775872970045     0.00042125353803969294     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5244.317448124075    All      0.00015615514197848824    0.00012701414401498134     -0.0021588824797637825     -0.00010583319143034044    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7422.33758739728     All      8.414078888559557e-05     -0.00014659837370508547    -0.0005384005716342547     -9.918568107640844e-05     
MWEBV         All|All|All                              All                  All      -0.8116065173322347       -4.010798303569985         0.012288284839480502       -1.0415336453468211        
Redshift      All|All|All                              All                  All      7.646035096216163         -2.342698186864123         13.224644738270635         -2.663503893790622         
