#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4689.765179943149    All      -0.31869515898730394      0.25706308249249243        -0.45532444916737136      0.1672243621966992         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6070.681415548626    All      0.8036726219426138        0.23393737420169813        1.2107964665182047        -0.13154922860844354       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4293.059355520073    All      -0.6422546092264745       0.5941010011802694         0.2807650584449317        0.4152509522520194         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5244.317448124075    All      0.14832908457954058       0.22041593476831434        -0.2331112187950457       0.013078375639691362       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7422.33758739728     All      1.0787597589059428        -0.2140711206217727        -0.6652524392652848       -0.45080471130523114       
Check         All|All|All                              All                  All      1.0698116972143188        1.0914462720210016         0.1378734177354346        0.013199750174735292       
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4689.765179943149    All      -0.0002506756194045874    0.000313926133967872       -0.0002677942186367273    0.00017195893987596996     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6070.681415548626    All      0.0002739099181767669     1.9926681988514864e-05     0.0003413587105705112     -6.749742437788014e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4293.059355520073    All      -0.0008617169932592574    0.0008681990706917677      0.0003111771883592347     0.0005773769833082216      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5244.317448124075    All      0.000319607128448416      0.00018464960316551339     -0.000702820290107173     -7.532374756598871e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7422.33758739728     All      0.0003013805983018989     -0.00013302554658691768    -0.0003454359688964473    -0.00015691559368978173    
MWEBV         All|All|All                              All                  All      -0.6650968648863578       -3.94530583765631          0.001872077479481149      -1.0683884358811933        
Redshift      All|All|All                              All                  All      6.172756520754868         -3.5012473908211383        3.0319115859934076        -3.015841050258928         
