#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4301.89829816878      All      -0.5925710563002331        0.41102333676565905       -0.40632029541800113       0.30877150247349383       
Zeropoint     AB|PS|PS_g                3387.5025684143866    All      -0.5337499654772688        0.15250928158589971       -0.17925443517344503       0.21553791187114224       
Zeropoint     AB|PS|PS_z                5988.170984010511     All      0.530485533342951          -0.04057213494110812      -1.123531919591833         -0.23615033917529002      
Zeropoint     AB|PS|PS_i                5210.530530024379     All      1.5875190453336443         0.47695205373727845       1.713591984782938          -0.2852784656941705       
Check         All|All|All               All                   All      0.9916835568990935         0.9999125371477291        0.004485334599658941       0.002880609475175544      
Lambda        AB|PS|PS_r                4301.89829816878      All      -0.00045376004133623803    -3.570774753809635e-05    -0.002118409378133362      4.1638504558264185e-05    
Lambda        AB|PS|PS_g                3387.5025684143866    All      -0.000727440154800416      0.0002039384673408306     -0.00028239018329464453    0.00029077888176869067    
Lambda        AB|PS|PS_z                5988.170984010511     All      -0.000193954090736748      1.8865257899800977e-06    0.00016025687042495646     7.09432598615463e-05      
Lambda        AB|PS|PS_i                5210.530530024379     All      0.0004986256434817312      0.00017982059994435718    0.0002894015251357624      -9.093063016083862e-05    
MWEBV         All|All|All               All                   All      -0.4513884209983581        -2.4413467971074354       -0.013516543093632418      -0.6487980920237476       
Redshift      All|All|All               All                   All      0.12110450983129817        -0.6588372665152775       -7.919513932437208         -0.607464229671164        
