#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4263.679676551407     All      -0.5934353721523044        0.4434016562385068        0.2866609614265908         0.35052429319421957       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4264.715751007144     All      -0.3959038106868069        0.15339812560997146       -0.17067161160027877       0.17130942198942678       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5255.291919204408     All      0.07577051649675459        0.4691728397333783        -0.2523587714423736        0.1168824663026119        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5274.148678833344     All      0.06366343525589663        0.2002538364592077        -0.3391541609566284        0.029357094837867415      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7709.4237880063565    All      0.19183738744742987        -0.0658696022141747       0.2279470128288913         -0.07377141658112263      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6234.938780365624     All      0.6245832239764924         -0.013216470359989074     0.1786521202934349         -0.19977991982289278      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6077.476736344495     All      0.6918362657121855         -0.0917389597009155       -0.09003821839257131       -0.2592542219325353       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7404.32876712655      All      0.32609251554838176        -0.08484462281561633      0.09843404720466242        -0.12946308595992162      
Check         All|All|All                                All                   All      0.9844441615980297         1.0105568029503686        -0.06052862063827269       0.0058046320276533        
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4263.679676551407     All      -0.00017964107290591153    8.573803527226678e-05     -2.507522458448113e-06     8.633080703627717e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4264.715751007144     All      -0.00026363151649630217    8.141593201037456e-05     -0.00040192965763752325    9.445703107828535e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5255.291919204408     All      1.6015028150876786e-05     6.997153256214065e-05     -0.00035967052908608086    1.5249647968960213e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5274.148678833344     All      -0.000140482599473197      8.19039780261521e-05      -0.001257106726029064      1.633972509230206e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7709.4237880063565    All      -5.5845394287204846e-05    1.929030963757213e-05     -6.618824445903774e-05     2.152049330094098e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6234.938780365624     All      -0.00020243056803784145    1.586332183189844e-05     -0.00023475251935451961    6.062957482676571e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6077.476736344495     All      -0.0002085389781911884     1.9463995900696206e-05    -0.0005257873246760402     5.080459629031502e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7404.32876712655      All      -0.00014443581959993208    2.732926453312278e-05     -0.0004916222442405242     3.401069598439839e-05     
MWEBV         All|All|All                                All                   All      -0.8170528711345977        -3.963157920034366        0.051275278205228925       -1.022501738040929        
Redshift      All|All|All                                All                   All      8.38309773027219           -1.0036196133946795       12.085323807628958         -2.5182501570103266       
