#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4939.01488156846     All      -0.33540367496672174       0.748225647844869          0.7952779049979777         0.38846332110629117       
Zeropoint     AB|PS|PS_g                3889.195986774492    All      -0.5827397175738989        0.4668419833501858         -0.10509596617180761       0.3371933399213508        
Zeropoint     AB|PS|PS_z                6875.026686705739    All      0.8135177962174456         0.18886047693609243        1.0172088127131753         -0.158078082065032        
Zeropoint     AB|PS|PS_i                5982.216697129255    All      1.0971008944144376         -0.39477562602296956       -1.7163133495869114        -0.5625444460360958       
Check         All|All|All               All                  All      0.9924752980912623         1.0091524821081777         -0.00892259804756601       0.005034132926514223      
Lambda        AB|PS|PS_r                4939.01488156846     All      -0.00023503377160322516    0.0004755823245638301      0.00014210035172107995     0.00023781232715076325    
Lambda        AB|PS|PS_g                3889.195986774492    All      -0.0008717744414029817     0.0006981853359649899      -0.00019599109867507453    0.00050264136705195       
Lambda        AB|PS|PS_z                6875.026686705739    All      -0.0008343125353779935     -0.00023003657647081084    -0.0010311874551935426     0.0001508153998520089     
Lambda        AB|PS|PS_i                5982.216697129255    All      -0.00015872901090863535    0.00022567105161754055     0.0005801724217220866      0.00015110217729710155    
MWEBV         All|All|All               All                  All      -0.47862019732885575       -3.0295170421341666        0.05532668308094702        -0.8284420486069125       
Redshift      All|All|All               All                  All      8.491071073057327          -1.1008396118121766        12.118614328532217         -2.583602775850355        
