#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4939.01488156846     All      -0.35060014940634754      0.8005244473244133        0.8836555483154734         0.41439264066774617       
Zeropoint     AB|PS|PS_g                3889.195986774492    All      -0.5094977093593601       0.42437251101876683       -0.045166830632699384      0.3021766659874421        
Zeropoint     AB|PS|PS_z                6875.026686705739    All      0.7574022073746475        0.2891114086844837        1.0299491239452216         -0.10657582042660207      
Zeropoint     AB|PS|PS_i                5982.216697129255    All      1.094628103982496         -0.5003976546758437       -1.8751418728592442        -0.6032313339544157       
Check         All|All|All               All                  All      0.9919324525914357        1.01361071235182          -0.0067040312312485195     0.00676215227417043       
Lambda        AB|PS|PS_r                4939.01488156846     All      -0.0002726126577770566    0.0004285506619052786     -3.421979052947325e-05     0.00022686488872306103    
Lambda        AB|PS|PS_g                3889.195986774492    All      -0.0008432654138030321    0.0006145516464732498     -0.00026019890518220995    0.0004632474952007554     
Lambda        AB|PS|PS_z                6875.026686705739    All      -0.0008105238052505719    -0.0003310712880421496    -0.000997287130519052      0.000111669114113131      
Lambda        AB|PS|PS_i                5982.216697129255    All      -0.0001307152470140797    0.00022067923084102297    0.0006776089211185378      0.00014469931597665877    
MWEBV         All|All|All               All                  All      -0.47921835673935087      -3.0228356692932223       0.06047891405779465        -0.8258409450579655       
Redshift      All|All|All               All                  All      8.349776973018951         0.1729752675315055        14.208392994544422         -2.0293980017051663       
