#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6273.693901425441    All      1.325971844139675         -0.27881903929767304      0.19873848780677825       -0.5138644008494526        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7757.344010278067    All      0.36897479085992557       -0.09167358531136927      0.34830287874212945       -0.1345051732194212        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4290.181848881533    All      -1.118223435098686        0.6465399389060877        0.14126005012335807       0.581145277156897          
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5287.957753097569    All      0.42026340547923524       0.7228492520741092        -0.7050211938902423       0.06710030717651816        
Check         All|All|All                       All                  All      0.9969866053801499        0.9988965663711546        -0.016719777217976572     -0.00012398973545868497    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6273.693901425441    All      -0.0003882642629248571    0.0001668956780480234     -0.0005980267944157924    0.0001541466677973671      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7757.344010278067    All      -9.261045435745937e-05    1.0719676010467343e-05    -6.139558864654326e-05    3.0918219779592926e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4290.181848881533    All      -0.0006429280761865777    0.00019301138019433103    -0.0009112335148986988    0.00023162881590872543     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5287.957753097569    All      2.6563043784115124e-05    0.00020497100480294816    -0.002737564927305648     -6.40516071733032e-05      
MWEBV         All|All|All                       All                  All      -0.8266075719024197       -3.9866742356879037       0.0745037467382166        -1.026012915466563         
Redshift      All|All|All                       All                  All      5.921277987463795         -1.5810063054624734       11.828032561128602        -1.9159100430135667        
