#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6273.693901425441    All      1.2699341701206635         -0.22308558154620073      0.4343759776040623        -0.4669414471449862       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7757.344010278067    All      0.34125199559150415        -0.08410990608487268      0.31402865067616526       -0.12454070896864566      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4290.181848881533    All      -1.0807434194954306        0.5844606286048659        0.10077375096454733       0.5469088117206644        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5287.957753097569    All      0.4647253810883548         0.7231939472530868        -0.8640797377457127       0.045631805242205004      
Check         All|All|All                       All                  All      0.9951681273050915         1.0004590882268793        -0.014901358500937767     0.0010584608492375525     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6273.693901425441    All      -0.0004409581082891363     0.00015032332314586722    -0.0005687660277165439    0.00016721839923056583    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7757.344010278067    All      -0.00010104353461230499    1.0117065299259394e-05    -6.868541600858709e-05    3.314354981054982e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4290.181848881533    All      -0.0004406836975576336     8.100777941955507e-05     -0.0011077893331484568    0.00012049652714522804    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5287.957753097569    All      -8.17220579828413e-05      0.00012407024986409415    -0.002675521639233168     -5.236291750098e-05       
MWEBV         All|All|All                       All                  All      -0.8343001311134066        -3.9825088271179254       0.07646079610932055       -1.0220630511197204       
Redshift      All|All|All                       All                  All      6.357941798751474          -0.4931371700465981       12.42422750016643         -1.677185603021261        
