#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5026.0313292829305    All      3.8646048735562495        0.28634277912011896        0.3768033297547076        -1.1487426834722265        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4197.099941030586     All      -2.870316507931156        0.7156250461733293         -0.37807482658850494      1.15118739506901           
Check         All|All|All                            All                   All      0.9942883656250932        1.0019678252934483         -0.0012714968337973476    0.002444711596783389       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5026.0313292829305    All      0.00028902252072535834    -4.7824460371875714e-05    -0.0011087073089207035    -0.00015919865876852456    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4197.099941030586     All      -0.0010705369778856195    0.00013367188320576265     -0.001605303878372441     0.0003206131041545139      
MWEBV         All|All|All                            All                   All      -0.03372208097378948      -2.1931210593091777        0.00842037019171136       -0.7030115269117667        
Redshift      All|All|All                            All                   All      8.46025717208554          0.9199734789198999         4.525128924317523         -2.2541827461023263        
