#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5026.0313292829305    All      3.7807364117875193        0.27976319725304677       -0.10962763831894318      -1.145274332568133        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4197.099941030586     All      -2.7853222319728594       0.7223905609070158        0.11097102713577556       1.1475295842337057        
Check         All|All|All                            All                   All      0.9954141798146603        1.0021537581600626        0.0013433888168323804     0.0022552516655727217     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5026.0313292829305    All      6.881029715799422e-05     -3.381305984817601e-05    -0.0006300353973156585    -6.154338971935357e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4197.099941030586     All      -0.0007431016701010729    3.1457283738891913e-05    -0.0017446668512084119    0.00017444286489394538    
MWEBV         All|All|All                            All                   All      -0.03857446341659143      -2.19184667690584         0.007005499127532566      -0.7010789772341292       
Redshift      All|All|All                            All                   All      7.891519083746319         1.2199737901244845        3.4180326982315656        -2.020610688587658        
