#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5919.755364930953    All      1.3619895388172845         0.20398909839087764        -0.01987053349728541       -0.3780855711776987       
Zeropoint     AB|PS|PS_g                4661.473868785934    All      -1.2030830115386522        1.0739074564988016         -0.10925458295051027       0.7368151759521935        
Zeropoint     AB|PS|PS_i                7170.105828019779    All      0.5775725362626356         -0.17873960385994536       0.14455226970751725        -0.23990504207578214      
Zeropoint     AB|PS|PS_z                8240.20115115453     All      0.2646869987526428         -0.10164429862555835       -0.015911988735403945      -0.12003623447392557      
Check         All|All|All               All                  All      1.0011660622939107         0.9975126524041755         -0.00048483547568236793    -0.001211671775212933     
Lambda        AB|PS|PS_r                5919.755364930953    All      -0.00018197894045141112    -1.0541196852754867e-05    -0.00046852010517657084    3.4935012765298384e-05    
Lambda        AB|PS|PS_g                4661.473868785934    All      -0.0002244708681442849     4.21299681524433e-05       -0.0010343222780798626     4.068361048852997e-05     
Lambda        AB|PS|PS_i                7170.105828019779    All      -0.0003520148584865975     5.6899830932942894e-05     -0.0006450185125045145     0.00010441275348743385    
Lambda        AB|PS|PS_z                8240.20115115453     All      0.00019197482061711357     -6.227111928871541e-05     0.00010523228283404676     -7.812023360181257e-05    
MWEBV         All|All|All               All                  All      -0.7034335733804786        -3.933794071004737         -0.007857417121738612      -1.0525853302182204       
Redshift      All|All|All               All                  All      7.097263263529976          -0.2712652691814199        9.041238872808199          -1.9967031945070597       
