#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5919.755364930953    All      1.2937838092885594         0.19917428476912136       -0.12116111980978173       -0.3619571980239017        
Zeropoint     AB|PS|PS_g                4661.473868785934    All      -1.209571270068987         1.1130984886693618        0.014888480226760148       0.7572343584786367         
Zeropoint     AB|PS|PS_i                7170.105828019779    All      0.6485119538860566         -0.20195026911702385      0.19115114459936633        -0.2684933277501522        
Zeropoint     AB|PS|PS_z                8240.20115115453     All      0.2672031952424355         -0.11256215552579718      -0.08794281616796296       -0.1276265526329784        
Check         All|All|All               All                  All      0.9999276883480648         0.9977603487956621        -0.0030643111516182042     -0.0008427199283955744     
Lambda        AB|PS|PS_r                5919.755364930953    All      -1.4642947608473541e-05    -2.535444249629174e-05    -0.00046007550247001075    -2.4020142907560155e-05    
Lambda        AB|PS|PS_g                4661.473868785934    All      -0.0004108328700052808     0.00023699486556687583    -0.0008250091509591949     0.0001742024370979632      
Lambda        AB|PS|PS_i                7170.105828019779    All      -0.0003636999660697241     5.595598509015407e-05     -0.000748156142636539      0.00010330897707448609     
Lambda        AB|PS|PS_z                8240.20115115453     All      0.00021196680795730833     -6.897738574881925e-05    0.0001267474398856108      -8.585661056736121e-05     
MWEBV         All|All|All               All                  All      -0.7006277651212471        -3.939118217759585        -0.02516535085492766       -1.0560058976239295        
Redshift      All|All|All               All                  All      7.053237659210627          -0.868826808277845        10.11557098230907          -2.1290655514371757        
