#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u                           3367.158337364673     All      -0.03171998815554197       0.01525897081202654        0.04299876940149633        0.01722143008976336        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7127.997513768936     All      0.27862441663324516        -0.016928156916207193      0.30693296555830174        -0.08257418803516775       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4503.7879440507895    All      -0.1762865243636766        0.22579576415047153        0.16590051963676772        0.13837480772129815        
Zeropoint     AB|SDSS|SDSS_r                           5785.597865851722     All      0.2398374525698051         0.029455708679482218       -0.6359467993736188        -0.09690764019690835       
Zeropoint     AB|SDSS|SDSS_z                           8341.496974927108     All      0.06393084499117668        -0.008758767123018263      0.04710194969179092        -0.021575454399485206      
Zeropoint     AB|SDSS|SDSS_g                           4427.636938393586     All      -0.1703488924508823        0.12183232975511715        -0.3429703952598864        0.07986784301478667        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5036.348898373358     All      0.15894980817135052        0.24369632643929107        0.2590397092759454         0.039164481576138464       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5829.942592531364     All      0.5358608930764136         0.07670793152821376        -0.06131423995413589       -0.1522973981830347        
Zeropoint     AB|SDSS|SDSS_i                           7016.048631865427     All      0.2528030722185759         -0.022717056868992724      0.17842087037144086        -0.08178386639957043       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4122.813878011722     All      -0.23968471141306294       0.19641973716246208        0.17167417630087714        0.1497145963285815         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3369.2630036047585    All      -0.036077288766391095      0.01900647154567392        0.06271412414236462        0.020741236260445918       
Check         All|All|All                              All                   All      0.875889082511012          0.8797692591645201         0.1945516497913437         0.0099458477768476         
Lambda        AB|SDSS|SDSS_u                           3367.158337364673     All      -1.2462626771193997e-05    -2.2719755438917554e-05    0.00043124842293081105     1.5903552206448716e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7127.997513768936     All      -0.00015004138470020605    -4.1074214482128056e-05    -0.00015297556911130934    2.866759519538391e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4503.7879440507895    All      -8.200310493804811e-05     1.2430702610328174e-05     -0.00010557852700378985    2.604871314295019e-05      
Lambda        AB|SDSS|SDSS_r                           5785.597865851722     All      1.96246576913242e-05       -5.7230028367055056e-05    0.0004874618453723556      -3.280916365591708e-06     
Lambda        AB|SDSS|SDSS_z                           8341.496974927108     All      2.6525294447143626e-05     -2.7058071611123292e-05    0.00014935472122549836     -1.0788849918688484e-05    
Lambda        AB|SDSS|SDSS_g                           4427.636938393586     All      -0.00012725380452444524    5.7994363333808e-06        -0.0003575998163604449     2.7381780461382768e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5036.348898373358     All      4.905007985538221e-05      -2.4542326864808677e-05    0.0004453570934042677      -4.097226359545996e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5829.942592531364     All      5.107503396042285e-05      -4.623082819238346e-05     0.0001936729630520005      -2.3052985737681512e-05    
Lambda        AB|SDSS|SDSS_i                           7016.048631865427     All      -0.0001125913435206845     -4.384780535551629e-05     4.9718700627469806e-05     2.4610749234896282e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4122.813878011722     All      -0.00021594054118699642    8.478732640068095e-05      0.00021166541376826405     0.00010740261539867413     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3369.2630036047585    All      3.7109428410300927e-06     -0.00012536147641773604    0.0017512679961843188      3.6107914077682596e-05     
MWEBV         All|All|All                              All                   All      -0.8361847983736159        -3.7703542270737245        0.5575738614844394         -0.9308735536406321        
Redshift      All|All|All                              All                   All      6.230769850958652          -0.7435819585996484        3.998927012879394          -2.0933220875549914        
