#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u                           3367.158337364673     All      -0.09269598457483594       0.045085799259325654       0.0140149444701263         0.045505482484224404       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7127.997513768936     All      0.33874071101173725        -0.023651865053420096      0.3001593438239864         -0.1046484514531828        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4503.7879440507895    All      -0.2044289843701197        0.22955706887799465        0.0972096446669933         0.1457015552337109         
Zeropoint     AB|SDSS|SDSS_r                           5785.597865851722     All      0.3102441511453456         0.04813412814508311        -0.7794393047872251        -0.12016065399221901       
Zeropoint     AB|SDSS|SDSS_z                           8341.496974927108     All      0.09538713043260585        -0.010354771794407469      0.04024837381557853        -0.032647516291296114      
Zeropoint     AB|SDSS|SDSS_g                           4427.636938393586     All      -0.2306836433285449        0.15017680120426036        -0.4729172378265081        0.10295465242689697        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5036.348898373358     All      0.2075316287287569         0.25747719438546923        0.3966690280510574         0.033970430781663584       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5829.942592531364     All      0.6330804219213692         0.06977501121463447        0.12235442756820424        -0.1780269883159253        
Zeropoint     AB|SDSS|SDSS_i                           7016.048631865427     All      0.31629831970697864        -0.023467831541967854      0.15168763523012296        -0.10390389095192823       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4122.813878011722     All      -0.2938201489547969        0.2097942195495861         0.06640399341538013        0.16700707348608798        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3369.2630036047585    All      -0.08485677629927321       0.04446727558171659        0.06421473603180604        0.044990707074054476       
Check         All|All|All                              All                   All      0.9947968254192227         0.9969930298282748         0.0006055844595221349      0.0007424004820868468      
Lambda        AB|SDSS|SDSS_u                           3367.158337364673     All      -5.68556762385252e-05      2.8478687129150888e-05     5.0108546651833766e-05     3.0032323862859063e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7127.997513768936     All      -0.00020048545852599457    -3.7363170633383493e-06    -0.0005047435832658853     4.1563280311149816e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4503.7879440507895    All      -0.00011084628314888918    2.2036122007329814e-05     -0.00036793237594588473    2.6865038974473223e-05     
Lambda        AB|SDSS|SDSS_r                           5785.597865851722     All      -7.543300253276201e-05     -5.616822689416082e-06     3.3939115531581075e-05     2.4255973508525255e-05     
Lambda        AB|SDSS|SDSS_z                           8341.496974927108     All      6.417688683394434e-06      -1.4506243933695558e-06    1.0503647791269476e-05     -2.0942388694983947e-06    
Lambda        AB|SDSS|SDSS_g                           4427.636938393586     All      -0.00015256664802695182    4.515953719404819e-05      -0.0005198148196746622     4.12089755457887e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5036.348898373358     All      2.334241416759321e-05      5.184494912403489e-06      -0.0001559388174919806     -1.2873464902798393e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5829.942592531364     All      -0.00010400344086783238    -3.905745735839175e-06     -0.0002352897419529625     2.2105211884181545e-05     
Lambda        AB|SDSS|SDSS_i                           7016.048631865427     All      -0.00017400061355070433    2.6900533050086992e-06     -0.00027980749786065296    4.506743962501745e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4122.813878011722     All      -0.00023089270225358407    9.73573473095896e-05       -0.00024175264045927592    9.613353023461005e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3369.2630036047585    All      -0.00021748615227724214    0.00011407435668907897     0.00016476597187423624     0.00011535291436908517     
MWEBV         All|All|All                              All                   All      -0.8949400597453785        -3.7097286225895587        0.12191006070855535        -0.9114289526146933        
Redshift      All|All|All                              All                   All      6.53432288633744           0.20077620806127072        4.343451041112588          -1.8692162493953568        
