#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4150.0296613180935    All      -2.8365001484862225       0.5795506429901565        -0.6260131945419967       1.0847840338189334        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4969.664622786299     All      3.8304740203521352        0.4222282453842041        0.6229980562271642        -1.0823762349396775       
Check         All|All|All                            All                   All      0.9939738718659128        1.0017788883743606        -0.003015138314832466     0.002407798879255907      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4150.0296613180935    All      -0.0005667877269150094    -2.552576523656773e-06    -0.0011813315044412276    0.00013107255188368226    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4969.664622786299     All      -0.000705447211064773     -0.0001322411408810034    -0.0006781827198732956    0.0001564478949710515     
MWEBV         All|All|All                            All                   All      -0.04371853150864924      -2.1482620676836817       0.013752345360429352      -0.6849053631467927       
Redshift      All|All|All                            All                   All      6.6755355787305755        1.572485617944075         3.063539069058568         -1.525519579259113        
