#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4150.0296613180935    All      -2.909398154496447         0.6489426581083535        -0.29649430538530047      1.1458374895006562         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4969.664622786299     All      3.90410740369449           0.35323903724489014       0.29643372838514703       -1.1434061712250276        
Check         All|All|All                            All                   All      0.9947092491980427         1.0021816953532436        -6.057700015343892e-05    0.002431318275628591       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4150.0296613180935    All      -0.0011772900599987073     0.00014981517589877493    -0.0011862890277587845    0.0003793432049167846      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4969.664622786299     All      -2.2005091107585604e-05    -7.465686956301088e-05    -0.0008147673008240758    -5.3509738979909985e-05    
MWEBV         All|All|All                            All                   All      -0.03526199496887994       -2.150431335073222        0.011494065340868992      -0.6884673137305025        
Redshift      All|All|All                            All                   All      6.719448891118127          0.9099779042731626        3.7785347558145777        -1.7237171743642892        
