#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6100.647705803203    All      1.1990498835013716         -0.048788959272272336      -0.3186567843598267       -0.4206823525182216        
Zeropoint     AB|PS|PS_g                4803.916396907085    All      -1.1120642011265873        1.2680166297274198         0.0636588190548087        0.7781114296627089         
Zeropoint     AB|PS|PS_z                8492.000285341881    All      0.39365830712939776        -0.08887530963264112       0.2344697851020183        -0.1467137642355252        
Zeropoint     AB|PS|PS_i                7389.205629882518    All      0.518831115088368          -0.13146465350333258       0.021843604359366723      -0.2108479461871229        
Check         All|All|All               All                  All      0.99947510459255           0.9988877073191738         0.0013154241563670156     -0.00013263327816087633    
Lambda        AB|PS|PS_r                6100.647705803203    All      -0.00016067251888110708    -3.424361103732512e-05     -0.0007038769146409964    9.771260761552264e-06      
Lambda        AB|PS|PS_g                4803.916396907085    All      -0.00034567062764607613    0.00019924551124814735     -0.0003838299117216487    0.00016036854755321098     
Lambda        AB|PS|PS_z                8492.000285341881    All      0.0004163270371578505      -9.373606509343177e-05     0.000295444464313402      -0.00015296000346591083    
Lambda        AB|PS|PS_i                7389.205629882518    All      -1.692795588611013e-05     -5.0481457045853854e-05    -0.0004881232586211275    -3.271217836835121e-05     
MWEBV         All|All|All               All                  All      -0.6895752299038391        -4.077900473979668         0.0757227717106628        -1.1003098450656248        
Redshift      All|All|All               All                  All      4.635659256486549          1.2451387940343395         2.0629239222071862        -1.0123452394494543        
