#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6100.647705803203    All      1.2651838223031293        -0.08964585723179042       -0.41016829577360525      -0.4596165264025745        
Zeropoint     AB|PS|PS_g                4803.916396907085    All      -1.1607552643323582       1.2858028337336513         0.07897906599663163       0.8004489348884521         
Zeropoint     AB|PS|PS_z                8492.000285341881    All      0.3584402130046322        -0.07311888848366976       0.23931646094630388       -0.12989340271617536       
Zeropoint     AB|PS|PS_i                7389.205629882518    All      0.5370943008979564        -0.12377542835091404       0.09357419808790901       -0.21109122609473188       
Check         All|All|All               All                  All      0.9999630718733598        0.9992626596672771         0.001701429257239262      -0.00015222032502959504    
Lambda        AB|PS|PS_r                6100.647705803203    All      -0.0002998622278995787    -5.3832497561478376e-05    -0.0009561588049494694    3.747100132248307e-05      
Lambda        AB|PS|PS_g                4803.916396907085    All      -0.0004149405005853546    0.00011938452358644786     -0.0009967438097807943    0.00012956714079212823     
Lambda        AB|PS|PS_z                8492.000285341881    All      0.0003106838190564469     -6.592869814647722e-05     0.00028728830238620393    -0.00010985472956873428    
Lambda        AB|PS|PS_i                7389.205629882518    All      -9.138900175080232e-05    -4.1038697391773185e-05    -0.0006093315120702936    -1.0790916219739777e-05    
MWEBV         All|All|All               All                  All      -0.7166171387215767       -4.069575148835192         0.059854492031563566      -1.089497701858401         
Redshift      All|All|All               All                  All      5.737176538227375         1.5018707677444176         5.180067144424139         -1.1484158213996258        
