#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4121.55746642011     All      -0.4855358707877662        0.24533209360155794        0.19875899597501911        0.24693744196674325       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5059.598683689309    All      0.040298153191679176       0.13751345206385324        0.03859857512346106        0.03338869826191799       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             5984.511789177568    All      0.03795374655318714        0.0594414033282753         -0.1033018508467539        0.002389349579505824      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             7730.235609484928    All      0.15882431540137207        -0.08132203169299856       0.35868929693982105        -0.06221690990671503      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4154.794349300862    All      -0.4314570737484427        0.07938267104004026        0.3026307034432988         0.1799023293681482        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7414.946090096136    All      0.01329956605849372        -0.0008611925941259813     0.02169776005118293        -0.0036443535914031404    
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5062.541069792788    All      0.006997151059714032       0.0860813312509201         -0.08121584781707143       0.022136029003344392      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4185.967873605728    All      -0.06485954842462766       0.1219240526233456         0.027397511290547228       0.06206418895595382       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5102.39071816943     All      0.07550673839739863        0.5170739985405071         -0.6925059137632137        0.11292962539333817       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             5985.671070616424    All      0.3077268511580748         -0.05972867301426987       0.13178976762735112        -0.1138111811099015       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7174.365581617049    All      0.49933599150465946        -0.18822945851999506       0.7328528722575947         -0.19125882948708928      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    5892.749421789483    All      0.8371618086544544         0.07490071468225779        -0.9418551317131056        -0.2903241846960561       
Check         All|All|All                                All                  All      0.9952518290181969         0.9915083613093678         -0.006463261431868705      -0.0015077962622133678    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4121.55746642011     All      -0.00032958738343501795    0.00013293932018719555     -8.477085058564463e-05     0.00014687723032312058    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V             5059.598683689309    All      -9.427968664435762e-06     3.659439634182769e-05      -0.00016986976600716697    7.410490900091717e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             5984.511789177568    All      -7.17618778889773e-06      -1.0596683960988201e-05    1.8068333081267436e-05     -3.078614136667204e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I             7730.235609484928    All      -2.3964617725460457e-05    2.2097382513106288e-05     -8.608434426264215e-05     1.1162359959148134e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4154.794349300862    All      -0.00026968443142779547    4.2496496616820415e-05     8.448051103453497e-05      0.0001054575759141196     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7414.946090096136    All      -5.270037422605161e-06     4.579257609797276e-07      -8.982869838971948e-06     1.464921829200564e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5062.541069792788    All      5.061707582777848e-07      5.272334587540478e-06      -5.0734023173629395e-06    1.3260937171934757e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4185.967873605728    All      -2.4691702008173216e-05    4.734602421144319e-05      1.123964209089367e-05      2.3966631005234152e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5102.39071816943     All      -0.00011093206621015639    6.739372843584473e-05      -0.0012091627860455303     4.127196403180282e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R             5985.671070616424    All      -7.634193822166718e-05     2.6961825177533344e-05     -0.00014177532861742861    2.732265256632339e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7174.365581617049    All      -0.00030095980062820203    0.0001279736843427842      -0.000981027101162451      9.593901371717605e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    5892.749421789483    All      -0.0002276636012155003     7.864527290737879e-05      -0.0010200676708912403     5.425394241393459e-05     
MWEBV         All|All|All                                All                  All      -0.7555154946845075        -3.816086111629513         0.1290104567062858         -0.9911713955622946       
Redshift      All|All|All                                All                  All      8.271572112728267          -1.3450120651929076        18.5177694200328           -2.306074842793707        
