#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     AB|SDSS|SDSS_g            3603.372357729412     All      -1.280478341901061         0.2897274021815832         -1.2595942697579288       0.45525776193023065      
Zeropoint     AB|SDSS|SDSS_r            4708.530467340492     All      1.3986060386682988         0.5929854337059837         3.060623414645237         -0.12583556910616203     
Zeropoint     AB|SDSS|SDSS_z            6788.6143420876715    All      0.21234665994093638        0.04619725458852031        0.7056780966968949        -0.022629155083042817    
Zeropoint     AB|SDSS|SDSS_i            5709.916158961675     All      0.6687244012527568         0.07040341055279953        -2.4939114756925043       -0.30618464588593824     
Check         All|All|All               All                   All      0.9991987579609307         0.9993135010288867         0.012795765891698618      0.0006083918550875422    
Lambda        AB|SDSS|SDSS_g            3603.372357729412     All      -0.002253858579450237      0.00034333234136282924     -0.005047511621369489     0.0006207432666727838    
Lambda        AB|SDSS|SDSS_r            4708.530467340492     All      -0.00025745150986072673    -0.00010112867653958757    -0.0009650521287539181    7.853645498974706e-06    
Lambda        AB|SDSS|SDSS_z            6788.6143420876715    All      -9.992744806742895e-05     -2.2073735926396693e-05    -0.0003242390088772753    1.089021756509627e-05    
Lambda        AB|SDSS|SDSS_i            5709.916158961675     All      -0.0001373475541271382     -1.5288605024336376e-05    0.0006167029610780621     6.72792360815949e-05     
MWEBV         All|All|All               All                   All      -0.6153200700461596        -2.8115456338735356        0.09230227986867731       -0.7112638929919762      
Redshift      All|All|All               All                   All      7.149071780424504          -0.03561406644774223       3.680766388107779         -2.1760328507170947      
