#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3603.372357729412     All      -1.1623128746066078        0.2357509724911111         -1.666856782120485        0.3810112273443689        
Zeropoint     AB|SDSS|SDSS_r            4708.530467340492     All      1.3186899060948574         0.6289829583106865         2.887407400573927         -0.09580851267281532      
Zeropoint     AB|SDSS|SDSS_z            6788.6143420876715    All      0.14504702289011162        0.03156160357065119        0.4958640083420951        -0.014837801360453873     
Zeropoint     AB|SDSS|SDSS_i            5709.916158961675     All      0.6977926804709138         0.10228592162775385        -1.7024416711069912       -0.26994829569538037      
Check         All|All|All               All                   All      0.9992167348492751         0.9985814560002026         0.013972955688545952      0.0004166176157193169     
Lambda        AB|SDSS|SDSS_g            3603.372357729412     All      -0.0019406658126899534     0.0004749692226807648      -0.0036837120223446426    0.0006224646541724763     
Lambda        AB|SDSS|SDSS_r            4708.530467340492     All      -0.0002765634632201628     -5.4392740058985594e-05    -0.0005437524192307511    4.810314062754539e-05     
Lambda        AB|SDSS|SDSS_z            6788.6143420876715    All      -0.00015827808542458844    -3.682548146758719e-05     -0.0005378941661589861    1.555736260365477e-05     
Lambda        AB|SDSS|SDSS_i            5709.916158961675     All      -0.00012875987638493957    -2.633152900674262e-05     0.0005285806506437531     5.6952409288726764e-05    
MWEBV         All|All|All               All                   All      -0.6082061805814751        -2.8148784890673184        0.023435565136820102      -0.7177399466000323       
Redshift      All|All|All               All                   All      5.345086670738119          -0.8729709136975572        -10.365813185293238       -2.488004557270635        
