#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6888.006666297074    All      3.0879828141261307         -1.7526737011031912        0.5356368980703965        -1.552858065209667         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5751.984116075596    All      -2.0914657601046818        2.7595695746857274         -0.5292069153728894       1.5565257287896819         
Check         All|All|All                            All                  All      0.9965170540214492         1.0068958735825362         0.006429982697507053      0.0036676635800148016      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6888.006666297074    All      -0.0020066664682342637     0.0009918981183509618      -0.0016983539158720584    0.0009009414006875419      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5751.984116075596    All      -0.00012487172110103346    -0.00010297528905683908    -0.0013589759791702402    -5.3512468111442524e-05    
MWEBV         All|All|All                            All                  All      -0.5391814147442711        -3.485961276788885         0.0006050748381197625     -0.9598361455347855        
Redshift      All|All|All                            All                  All      9.883794572753182          -3.73120944556824          12.62203193973389         -3.8715914145204815        
