#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6888.006666297074    All      3.412086141051829         -1.8889128582774362      1.4929510716790384        -1.6600862223157125      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5751.984116075596    All      -2.4840236491987695       2.9500874895661333       -1.5778610991676238       1.6996560808400452       
Check         All|All|All                            All                  All      0.9280624918530596        1.0611746312886972       -0.08491002748858545      0.0395698585243327       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6888.006666297074    All      -0.0014014533815747843    0.0006483787759619902    -0.0014041157637061188    0.0006050385335208587    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5751.984116075596    All      -0.0008000721033008338    0.0005859041510443698    -0.0013806965155714005    0.0003898439191244045    
MWEBV         All|All|All                            All                  All      -0.6415694510558421       -3.45030732087821        -0.23870168098885092      -0.925550488637733       
Redshift      All|All|All                            All                  All      9.961886436690722         -5.198045332803147       11.11957814521871         -4.441872822019188       
