#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     AB|SDSS|SDSS_z            7108.649180020031    All      0.09524129102162678        0.008034925143007854       0.06874291938041999       -0.02533830160374638     
Zeropoint     AB|SDSS|SDSS_g            3773.245711908085    All      -1.1058849303511153        0.46497180418576534        -0.2865636529436696       0.4988916983985661       
Zeropoint     AB|SDSS|SDSS_r            4930.504158742069    All      0.7626026114897291         0.4520792200803925         0.4742123700256227        -0.07998576440254929     
Zeropoint     AB|SDSS|SDSS_i            5979.098056836095    All      1.2454609431020283         0.07317410404077407        -0.2583745047438259       -0.39338245804923727     
Check         All|All|All               All                  All      0.9974199152622689         0.9982600534499397         -0.0019828682814527765    0.0001851743430331676    
Lambda        AB|SDSS|SDSS_z            7108.649180020031    All      -3.662519859825801e-05     -3.70288981109344e-06      -3.687486180110346e-05    9.078323361698175e-06    
Lambda        AB|SDSS|SDSS_g            3773.245711908085    All      -0.0018824288881384113     0.000665777309151058       -0.0010643258004309562    0.0007825386197493253    
Lambda        AB|SDSS|SDSS_r            4930.504158742069    All      -0.0001214400008415818     -0.00012798394105260514    -0.0015615237723877193    -7.18152107583521e-05    
Lambda        AB|SDSS|SDSS_i            5979.098056836095    All      -0.00019076511200648454    -1.585658816672477e-05     -6.915429053752304e-05    5.388742216160232e-05    
MWEBV         All|All|All               All                  All      -0.5375063099360853        -3.029116371110163         0.051659815097034954      -0.8092940281777798      
Redshift      All|All|All               All                  All      5.207157023471524          0.3125230412932112         6.37651544307458          -1.309788718722181       
