#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5439.640496077322     All      0.2845098597667906         0.12171306170856155        0.024184687209350145       -0.05194902146923391       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4348.050952000281     All      -0.3292513191779479        0.2079090144441853         -0.09498361186168591       0.1707321103573558         
Zeropoint     AB|CNIa02|SDSS_i                      7437.74411961583      All      0.15414299250645003        -0.03493864169947791       0.013578101365492989       -0.06098418055988776       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I        8172.031789062753     All      0.09722083220002833        -0.023198915072253357      0.0082378147453809         -0.038857057541421665      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5351.870656366677     All      0.2321924567025444         0.155495833628283          0.17871509452877563        -0.017007379519159326      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5306.436667188153     All      0.13268460382951883        0.12348976664044997        0.09071456538132795        0.0010531134424016536      
Zeropoint     AB|CNIa02|SDSS_r                      6133.3378320325655    All      0.3846040217396775         -0.058007633418055704      -0.1228402135763054        -0.14965497212302512       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4299.108568866204     All      -0.2776735173830084        0.2069136747052447         0.10571364956052393        0.16256350556288107        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7838.718116266186     All      0.13196451998191874        -0.027292471784301497      0.03924605418543378        -0.05012387046997258       
Zeropoint     AB|CNIa02|SDSS_g                      4693.757459542419     All      -0.2375407780960926        0.11532060514873876        -0.4678188808529103        0.09406195327947318        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4425.2003731717       All      -0.4110054202041773        0.30233469614731057        0.07854333460101444        0.23586337237518792        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6326.532979314832     All      0.4619232829345315         -0.05146588643407668       0.08697273078585831        -0.1633465489416761        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6324.2049652448695    All      0.37279217788839475        -0.042093259462738786      0.060296470333343996       -0.13245108173142198       
Check         All|All|All                           All                   All      0.9965637126886284         0.9961798445518699         0.0005597964056004712      -0.00010005733849879905    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5439.640496077322     All      -2.049486364751865e-07     -5.225624289938392e-05     -0.0006806332629791877     -4.7328355469399824e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4348.050952000281     All      -0.00015221894253265403    4.987432363818903e-05      -0.00027345599455428363    5.3625340363813105e-05     
Lambda        AB|CNIa02|SDSS_i                      7437.74411961583      All      -1.2500842552396008e-05    -7.805199575016897e-06     -8.274107901883485e-05     -2.1628289407821708e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I        8172.031789062753     All      -5.060525820706096e-06     -2.573865062111104e-07     -9.226635597455125e-06     1.1527981230109556e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5351.870656366677     All      4.559689398509513e-05      1.6850708325494252e-06     -0.0003630000774322844     -3.050255171360543e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V        5306.436667188153     All      3.6125498422778714e-05     1.838676683702754e-05      -0.00018031176282412318    -1.3824574297282103e-05    
Lambda        AB|CNIa02|SDSS_r                      6133.3378320325655    All      -2.0043229212197038e-05    -1.7447509506900365e-05    -0.00018002789962955448    -7.1883070175740366e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4299.108568866204     All      -0.00011741739443690214    5.197444360539628e-05      -0.00012629707062943748    4.954043627559137e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7838.718116266186     All      6.493619376291341e-07      2.3896474651325557e-06     2.4761778497826038e-05     1.6718726976239704e-06     
Lambda        AB|CNIa02|SDSS_g                      4693.757459542419     All      -0.00017510235719834635    6.953070054220228e-05      -0.0004355487840329088     6.0248493266462584e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4425.2003731717       All      -0.00019132471151391277    5.570585703427105e-05      -0.00037487430456186507    6.373706476326004e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6326.532979314832     All      -0.00012363821675644013    -9.82663149992146e-08      -0.0001805122768002498     3.218559235172857e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6324.2049652448695    All      -8.722654523409382e-05     1.5909423452654596e-06     -9.649237151620635e-05     2.462476634581075e-05      
MWEBV         All|All|All                           All                   All      -0.8684536956947366        -4.078519653404289         0.021228088411321233       -1.044676778370424         
Redshift      All|All|All                           All                   All      4.763773609794304          -0.16482568156583888       3.118502973646155          -1.4662424703487362        
