#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5439.640496077322     All      0.29751144224882486        0.1211241993138934        0.0208039087920886         -0.05652674509134051       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4348.050952000281     All      -0.3454247904063996        0.21946303508575404       -0.08862932159618975       0.1800474294571582         
Zeropoint     AB|CNIa02|SDSS_i                      7437.74411961583      All      0.15528742466207968        -0.03274967022051101      0.029640413952303213       -0.05992715249873784       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I        8172.031789062753     All      0.09846030717741486        -0.02291086805956688      0.010073680408595465       -0.03908504267785152       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5351.870656366677     All      0.23681577023848568        0.14458368061669447       0.14478709949432567        -0.023581842668100525      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5306.436667188153     All      0.14752433217926833        0.12420264566612715       0.10370772728607314        -0.0029686410016121004     
Zeropoint     AB|CNIa02|SDSS_r                      6133.3378320325655    All      0.39757156370612234        -0.059290026938718654     -0.12367010531408873       -0.154333679176831         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4299.108568866204     All      -0.27839840424990514       0.209171829461674         0.11408720062049404        0.16390885348423026        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7838.718116266186     All      0.12269043144998606        -0.023265912350955986     0.05426092177041042        -0.045121367269835774      
Zeropoint     AB|CNIa02|SDSS_g                      4693.757459542419     All      -0.23831043301686694       0.11670528107412537       -0.457994922383409         0.09520208785813201        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4425.2003731717       All      -0.40028207430911145       0.2909624198069949        0.05582048031582687        0.22765208466429143        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6326.532979314832     All      0.43279338956315355        -0.04916881589531741      0.08652903277137636        -0.1531295530842972        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6324.2049652448695    All      0.3703903339922786         -0.04288302081967288      0.051191661197247385       -0.1323322792273383        
Check         All|All|All                           All                   All      0.9966292932353308         0.9959447767405205        0.0006077773150536814      -0.00019584723213289523    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5439.640496077322     All      -1.931765383442725e-05     -5.223573260733604e-05    -0.0007381954748477066     -4.366477486222951e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4348.050952000281     All      -0.00015185199941563501    4.665526989069105e-05     -0.000276523479216729      5.232037545720984e-05      
Lambda        AB|CNIa02|SDSS_i                      7437.74411961583      All      -1.562725059971668e-05     -8.545494658174651e-06    -0.00010032189111706807    -2.1701443457642664e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I        8172.031789062753     All      -4.597939988466305e-06     2.531216618553989e-07     -5.5227030946954785e-06    1.3336975004392258e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5351.870656366677     All      1.9858704386139902e-05     1.4023288515677586e-06    -0.00042740316272962413    -2.5084888869228224e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V        5306.436667188153     All      -2.999291251993027e-06     2.774430559446779e-05     -0.00020037475686383708    1.0723958163241472e-06     
Lambda        AB|CNIa02|SDSS_r                      6133.3378320325655    All      -3.852634233690545e-05     -2.224412183418948e-05    -0.0002452340742045266     -5.6400155255062475e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4299.108568866204     All      -0.00012120350747181561    5.0659001826912994e-05    -0.0001229323308805858     5.049536806778122e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7838.718116266186     All      2.6680363700971506e-06     2.5602090091241492e-06    3.011818887852808e-05      1.308913522926823e-06      
Lambda        AB|CNIa02|SDSS_g                      4693.757459542419     All      -0.00015816145772132713    6.16788680659041e-05      -0.0005682787303250854     4.624955691618715e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4425.2003731717       All      -0.00019054696100846875    5.444351343814908e-05     -0.0003621355691440053     6.364101025208115e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6326.532979314832     All      -0.0001288341415924769     -7.57636785735569e-06     -0.0002276201174492688     2.9340005747417384e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6324.2049652448695    All      -0.00010029207946971604    7.382765996285604e-07     -0.0001260805188255971     2.7282516283465084e-05     
MWEBV         All|All|All                           All                   All      -0.8718105395188878        -4.07864677834171         0.01375754341682578        -1.043958128786553         
Redshift      All|All|All                           All                   All      4.713063019845396          -0.16721012071689856      2.7182969075260743         -1.4683604118017013        
