#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4673.838873628977    All      -1.0581134636244736        1.0795668099783384        0.07605455487296384       0.6997067581825434        
Zeropoint     AB|PS|PS_i                7189.125218835689    All      0.7589664188774057         -0.20816915789136914      0.6849856715809741        -0.28446011067172033      
Zeropoint     AB|PS|PS_r                5935.458081671927    All      0.9511058359348645         0.2276396460495711        -0.6350114932609041       -0.2639943858182532       
Zeropoint     AB|PS|PS_z                8262.05907206318     All      0.3471241928879196         -0.10046420757685581      -0.12430920514585203      -0.1513416161465007       
Check         All|All|All               All                  All      0.9990829840757163         0.9985730905596846        0.0017195280471818397     -8.935445393087882e-05    
Lambda        AB|PS|PS_g                4673.838873628977    All      -0.0003133010991704784     0.00013274703800516367    -0.0007375957099268829    0.00011237704394646878    
Lambda        AB|PS|PS_i                7189.125218835689    All      -0.0003189158837164871     6.8740539400858436e-06    -0.0011693051513328536    5.393978238565864e-05     
Lambda        AB|PS|PS_r                5935.458081671927    All      -0.00021934985416966548    -2.00279281216587e-05     -0.0009232598338991781    2.3724862802547027e-05    
Lambda        AB|PS|PS_z                8262.05907206318     All      0.00035800413800368225     -0.0001626962374697639    0.0003750382561878103     -0.0001528730079399727    
MWEBV         All|All|All               All                  All      -0.6533722851777579        -3.952059096414917        0.018190484228246546      -1.0736790602273256       
Redshift      All|All|All               All                  All      6.451377158885595          -0.17129988278590247      9.696647575693406         -1.724506945863681        
