#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4673.838873628977    All      -1.0272317197716299        1.0937617239422437         0.29740858899791195       0.704149322608009          
Zeropoint     AB|PS|PS_i                7189.125218835689    All      0.7233284821721744         -0.19709472232444236       0.8056388935127237        -0.26386015507666893       
Zeropoint     AB|PS|PS_r                5935.458081671927    All      1.0541985907799614         0.09793667125878036        -0.7881467261328448       -0.3466573358310686        
Zeropoint     AB|PS|PS_z                8262.05907206318     All      0.25261860174969153        -0.036909876621826765      -0.18652520565383135      -0.10263271385866227       
Check         All|All|All               All                  All      1.002913954930197          0.9576937962547549         0.12837555072395945       -0.009000882158390816      
Lambda        AB|PS|PS_g                4673.838873628977    All      -0.00016109208539634228    -0.0001031534436754689     -0.0004553381361008954    -1.4471279885828364e-06    
Lambda        AB|PS|PS_i                7189.125218835689    All      -0.0003205548820204766     -0.0001037282896371847     -0.0009167320010463537    2.9718015713335976e-05     
Lambda        AB|PS|PS_r                5935.458081671927    All      -0.000273475056094839      -8.903197465580018e-05     -0.0004676918853080948    3.920823881167097e-05      
Lambda        AB|PS|PS_z                8262.05907206318     All      0.0003996845926103179      -0.00023685268458985381    0.0009849021219872826     -0.0001633894744260306     
MWEBV         All|All|All               All                  All      -0.6018905390051432        -4.057137147250067         0.7012183271086103        -1.0941953411827507        
Redshift      All|All|All               All                  All      7.65497421148155           -0.18854742532434798       15.323449200401829        -1.8710778815475073        
