#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|WFC3|WFC3_f153m        5477.550174595485     All      0.30583467894937644        0.01927435063286964       0.4499263229581928        -0.07326398113069525       
Zeropoint     AB|WFC3|WFC3_f140w        5022.126018130357     All      0.19970828721740175        0.14698796282921478       1.0822806430242287        0.031124470262583834       
Zeropoint     AB|WFC3|WFC3_f160w        5512.962685566046     All      2.3597363781902945         -0.07597010602875542      -0.5637804006115559       -0.8185486642028772        
Zeropoint     AB|WFC3|WFC3_f125w        4491.480305683824     All      -1.8564806804581768        0.8440462635563861        -1.3010227732497635       0.8215917993743796         
Zeropoint     AB|ACSWF|F814W            2903.2714663084957    All      -0.09289761350735606       0.03372394768099696       0.09694692515661886       0.04557110421329309        
Zeropoint     AB|WFC3|WFC3_f139m        4944.990003023099     All      0.052575311332250414       0.040620495201793005      0.26018074967041294       0.007716594975371061       
Check         All|All|All               All                   All      0.9684763617237899         1.008682913872505         0.024531466948134018      0.014191323492055201       
Lambda        AB|WFC3|WFC3_f153m        5477.550174595485     All      0.0003498050653339663      2.3159810404997754e-05    0.0005327907736118152     -8.262310063327356e-05     
Lambda        AB|WFC3|WFC3_f140w        5022.126018130357     All      -1.4492238569942799e-05    -8.873920925127148e-06    -6.832274888715665e-05    -1.2188595937214365e-06    
Lambda        AB|WFC3|WFC3_f160w        5512.962685566046     All      0.00015238099737356262     -2.307708318285483e-05    -0.0005581396877941407    -8.20596800600048e-05      
Lambda        AB|WFC3|WFC3_f125w        4491.480305683824     All      0.000245777601027083       -0.0002811253385972646    -0.0012536474862529662    -0.00022757415154430098    
Lambda        AB|ACSWF|F814W            2903.2714663084957    All      -0.0004178072061169248     0.00015104068494496266    0.0004323841482697977     0.00020458779132731265     
Lambda        AB|WFC3|WFC3_f139m        4944.990003023099     All      6.435836760975379e-05      4.727926280518904e-05     0.00031486902685904565    8.487932206880948e-06      
MWEBV         All|All|All               All                   All      -0.07369523796355804       -0.831866283810001        0.03302576448912384       -0.24548746453141143       
Redshift      All|All|All               All                   All      -1.6950321640757764        0.6178343316740609        -4.442947757441056        0.5551083560196783         
