#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4668.492520201283     All      -0.34977448318088583       0.3196419612132573         0.039652319207556394       0.21982045997575844        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.746750943354     All      -0.38201039453744723       0.21873880316718441        -0.12535446308677248       0.19008978379861363        
Zeropoint     AB|CNIa02|SDSS_g                      4679.395462950481     All      -0.23898741457272946       0.23515342529520922        0.05002808882175145        0.15667579414870314        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7467.853378915702     All      0.20801970004099957        -0.030711843007846795      0.07300705422876887        -0.07450474808452932       
Zeropoint     AB|CNIa02|SDSS_r                      6114.570995910306     All      0.5588180813075905         -0.051228188537244534      -0.003863669514231738      -0.19888455783983217       
Zeropoint     AB|CNIa02|SDSS_i                      7414.986050708697     All      0.19760021107435774        -0.031988484464129385      0.035428364654991835       -0.07320358618265578       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5433.7169278266465    All      0.41627940131958674        0.08345741768041037        0.0367293048049604         -0.10677200940745823       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4335.927242070974     All      -0.36319376871786346       0.2277818672598464         -0.03005683331236084       0.19115890873417474        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5422.996240608346     All      0.3540591975685397         0.07477771768833463        -0.13089575554493518       -0.09681244247226749       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6154.098306841491     All      0.5963708031250492         -0.04932799983929925       0.05583830978059384        -0.20783353567570265       
Check         All|All|All                           All                   All      0.9971813334271975         0.9962946764557223         0.0005127200403225451      -0.00026593300519575647    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4668.492520201283     All      -9.82591729244519e-06      -4.7306288553329326e-05    -0.0003217352139559874     -2.656615490972457e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.746750943354     All      -0.00017370677770246848    5.2717576994722316e-05     -0.00033968766024400593    5.859516131718632e-05      
Lambda        AB|CNIa02|SDSS_g                      4679.395462950481     All      -3.558569243099613e-05     1.5544888826057865e-05     -7.556537314346364e-05     1.3282776917393965e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7467.853378915702     All      -3.678240812362099e-05     8.257218429420596e-07      -6.425936135211287e-05     9.382605036261756e-06      
Lambda        AB|CNIa02|SDSS_r                      6114.570995910306     All      -3.6632540304804794e-05    -1.2717829623450606e-05    -0.00022927423096333576    -2.4416478699097104e-06    
Lambda        AB|CNIa02|SDSS_i                      7414.986050708697     All      -1.5996975777219798e-05    -6.42752154598895e-06      -0.00010619657854290444    -1.6219794883215195e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5433.7169278266465    All      3.2504509927240596e-05     -8.406394690331378e-06     -0.00038527532022134995    -3.051909559866349e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4335.927242070974     All      -0.00011152129789175851    3.9086319439023435e-05     -0.00018384260822134715    4.0853804561712504e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5422.996240608346     All      4.588654844389441e-05      -1.1486390363817752e-05    -0.000585154961791104      -4.480103210849949e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6154.098306841491     All      -0.0001011898541372281     -1.4306403609928704e-06    -0.0001597113651051912     2.536767321069187e-05      
MWEBV         All|All|All                           All                   All      -0.8879813006660489        -4.056373790446788         0.014327856174300033       -1.0314102845227557        
Redshift      All|All|All                           All                   All      3.8863874667831357         0.4026093843016554         2.004479178370851          -1.045330434867972         
