#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4668.492520201283     All      -0.37902823826697596       0.414689330774376          0.21998183299953844        0.2683567036359247         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.746750943354     All      -0.3400247414871142        0.1818010449648355         -0.32212750082296626       0.15560075532221607        
Zeropoint     AB|CNIa02|SDSS_g                      4679.395462950481     All      -0.06970011647968834       0.06733282851651978        -0.009161168887694693      0.04422731754351594        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7467.853378915702     All      0.26030603946399056        -0.03640499365671346       0.16767050106991643        -0.08916618061046433       
Zeropoint     AB|CNIa02|SDSS_r                      6114.570995910306     All      0.44515058549560954        -0.03824050988372463       0.00691148871327929        -0.1571479548617638        
Zeropoint     AB|CNIa02|SDSS_i                      7414.986050708697     All      0.17287610827469907        -0.029261893448362386      0.055656900084333216       -0.06335928547606118       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5433.7169278266465    All      0.3669797056881219         0.0949297229036361         0.021873539628347594       -0.08763951395941438       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4335.927242070974     All      -0.4289567726221628        0.31030328783945293        0.10337184683411049        0.24541433338041985        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5422.996240608346     All      0.17306013288891334        0.04406468738133995        -0.610690599165209         -0.06927037706619121       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6154.098306841491     All      0.7031993594592193         -0.04290252684682194       0.28195084190689723        -0.23044775927192063       
Check         All|All|All                           All                   All      0.9038620624146123         0.9663109785445378         -0.08456231763944722       0.016568038636260995       
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4668.492520201283     All      -0.00015397046595144807    8.697967167066908e-05      -0.00010995992498488694    7.357838042318816e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.746750943354     All      -0.0001730182008707239     7.952760542398743e-05      -0.0003021297303885736     6.877981538484585e-05      
Lambda        AB|CNIa02|SDSS_g                      4679.395462950481     All      -4.509623535898046e-05     2.4616786466407884e-05     -6.026630530364783e-05     2.0018416286250355e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7467.853378915702     All      -2.1369886899433565e-05    -5.470196399784771e-06     -5.48212825786023e-05      2.7326302235766375e-06     
Lambda        AB|CNIa02|SDSS_r                      6114.570995910306     All      0.00017372988793592852     -2.328568813342087e-05     1.469045683294961e-05      -6.351888712808967e-05     
Lambda        AB|CNIa02|SDSS_i                      7414.986050708697     All      -1.9279484874584388e-07    -1.0229818953949946e-05    -7.111718347201399e-05     -6.443022228296423e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5433.7169278266465    All      5.6029260940646113e-05     1.933581925788513e-05      -0.0002645583646059509     -2.3758285874194226e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4335.927242070974     All      -0.00020110047017332647    0.00013606309212766443     -9.802272485945694e-05     0.00010545096058477045     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5422.996240608346     All      1.7708470413534217e-05     9.490794606113352e-06      -0.0005104418755136773     -2.5455443893418458e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6154.098306841491     All      0.0001554203193731836      -1.30873161695695e-05      0.00011380455004947336     -4.980990624950334e-05     
MWEBV         All|All|All                           All                   All      -0.8901998239021061        -4.063782323256149         0.021432488683936768       -1.0327837942685159        
Redshift      All|All|All                           All                   All      3.0366758610382956         -0.7139630488585347        3.0559255167390997         -1.0853345648545842        
