#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7403.0956580882885    All      0.5313232593566446        -0.15703117817142953      0.31171420423348195       -0.21030931320784596       
Zeropoint     AB|PS|PS_z                8507.963317011998     All      0.43879275214404156       -0.09806511698755571      0.1014731582163586        -0.17034398907360138       
Zeropoint     AB|PS|PS_g                4812.946668575443     All      -1.1503310211974316       1.3593900845443763        0.029541753041195662      0.8188170442698539         
Zeropoint     AB|PS|PS_r                6112.115537793747     All      1.1802509071164116        -0.10483089299935244      -0.4311863045050046       -0.43783528463613997       
Check         All|All|All               All                   All      1.0000358974196666        0.9994628963860386        0.011542810986031604      0.000328457352266609       
Lambda        AB|PS|PS_i                7403.0956580882885    All      3.2934293354487844e-05    -1.208360026812374e-06    -0.0002413846573318392    -2.189327408331016e-05     
Lambda        AB|PS|PS_z                8507.963317011998     All      0.0005086201246617787     -7.742053120518368e-05    1.0643689299049921e-05    -0.00019041774281204968    
Lambda        AB|PS|PS_g                4812.946668575443     All      -0.0009029584446429013    0.000709237720788135      -0.0011963306585240552    0.00047175858801734225     
Lambda        AB|PS|PS_r                6112.115537793747     All      0.0001588954154951436     7.509564860403899e-05     -0.0004409081278434441    -4.697204573474151e-05     
MWEBV         All|All|All               All                   All      -0.6841734980045846       -4.084685971721491        0.07200421986823802       -1.1044455685977062        
Redshift      All|All|All               All                   All      5.94121666537873          -2.3735984048953718       9.146966365414144         -2.300221719287415         
