#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7403.0956580882885    All      0.5129643920099495        -0.16926706491400267      0.39115188045770466       -0.2047699183391683        
Zeropoint     AB|PS|PS_z                8507.963317011998     All      0.4440859488978715        -0.04799786043578891      0.0733880070033372        -0.15701291608280235       
Zeropoint     AB|PS|PS_g                4812.946668575443     All      -1.1108157659503097       1.3083006077101444        -0.00684358791976316      0.7876803915685494         
Zeropoint     AB|PS|PS_r                6112.115537793747     All      1.1532357528341886        -0.09136405320901986      -0.45598220890986885      -0.42575549467878193       
Check         All|All|All               All                   All      0.9994703277917           0.999671629151333         0.0017140906314098703     0.00014206246779679965     
Lambda        AB|PS|PS_i                7403.0956580882885    All      -4.662079777264123e-05    5.030702372782598e-05     -0.0005066875469207235    8.961442205970064e-06      
Lambda        AB|PS|PS_z                8507.963317011998     All      0.0005589297060005116     6.795302298266589e-05     -0.000221818113650116     -0.00016982598195045982    
Lambda        AB|PS|PS_g                4812.946668575443     All      -0.000567040108492692     0.00026034493323113443    -0.0014053285543055413    0.00020679316931073854     
Lambda        AB|PS|PS_r                6112.115537793747     All      -0.0002191545569396681    7.881544001594769e-05     -0.0007742877488826574    6.250572487253802e-05      
MWEBV         All|All|All               All                   All      -0.672423928358739        -4.073299978854994        0.07005799803580949       -1.1046508484577684        
Redshift      All|All|All               All                   All      5.914561995075907         -1.47173751223022         11.139677481249935        -1.9088481082654352        
