#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3364.3588785169854    All      -0.01422057608577889       0.015658130694973238       0.04083784657233567        0.011554883309824794      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             7697.479495853258     All      0.08894176683023011        -0.04286616137587629       0.004297470308699381       -0.04274240220645426      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5080.769838987888     All      0.02179531298720027        0.02023380668578767        0.13838837175211122        0.005667003462093368      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5029.018249220452     All      -0.04783089424174447       0.3425202955534168         0.14814954897480395        0.13376145863345584       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7143.964912594977     All      0.1589591203447106         -0.008843107864908717      0.2121244432269909         -0.045192566608313216     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4497.232463097596     All      -0.5305604560152877        0.4254186264025961         -0.17808759390396203       0.30344660653193517       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             5960.30737775429      All      0.15714791365945982        -0.012957690589399107      -0.017793659938781077      -0.05620304093174982      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4104.092771742        All      -0.04527951122636008       0.019405912593839503       0.018351540042988796       0.021889115572015977      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5038.159131548075     All      0.040804399742585894       0.03630083326262579        0.3036419835945707         0.012083187385177873      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    5867.779475281481     All      0.14220958051573354        -0.0015155428583213393     0.17160799367569082        -0.039157924508301384     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4116.812923218421     All      -0.3896097776229066        0.22548305727996265        -0.2468984553705763        0.18933802818146592       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4137.188816598221     All      -0.024880569153301633      0.007514699351585108       0.02514735707997243        0.011674415773564486      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              5821.456829414112     All      0.7697525877979862         0.16010553298384522        -0.7350118900589229        -0.23138230741114443      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7117.622368998267     All      0.6695592487950164         -0.18878994526225767       0.11824672528477365        -0.27431576309226713      
Check         All|All|All                                All                   All      0.9967881463275431         0.9976684468578689         0.0030016812406951088      0.0004206940913032975     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3364.3588785169854    All      -5.3975163810165706e-05    5.8005805529542596e-05     0.0001515682425674892      4.323968031643464e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I             7697.479495853258     All      1.637743181746697e-06      -4.44669268181592e-06      -7.7151081921498e-06       -2.326190777161935e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5080.769838987888     All      3.101389765194078e-06      1.5420730481952275e-05     1.6862631393593336e-05     4.765316357550647e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5029.018249220452     All      -0.00015840974210825693    0.00034822876374429184     -0.0006173200410441277     0.00013748067108452876    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7143.964912594977     All      -6.321694446476674e-05     -1.540422182276111e-05     -0.0001484460511563904     8.949711281296464e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4497.232463097596     All      -0.0004153036114592926     0.0003683847753232177      -0.0004462785017393721     0.00023535773030756234    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R             5960.30737775429      All      -3.884790720904423e-05     -6.926336888505395e-06     -0.00011168626955738324    5.413860388005645e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4104.092771742        All      -4.680705597238086e-05     2.14139367123582e-05       1.1743979952605052e-05     2.274590160854917e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V             5038.159131548075     All      4.144278293589616e-06      3.834900736179522e-05      6.166037600355509e-05      1.389322494485103e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    5867.779475281481     All      -1.8500072906505166e-05    -9.800608314658205e-07     -9.493801259166392e-05     1.4701968566714614e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4116.812923218421     All      -0.00040828916385713597    0.00024534781755455106     -0.0003050806119939484     0.00019929672233502153    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4137.188816598221     All      -2.2178245823386993e-05    6.759764331916171e-06      2.2205900652326433e-05     1.0417009297938725e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              5821.456829414112     All      -0.00017144797311413444    -1.7267541985377875e-05    -0.0006594300593794942     2.079430390676413e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7117.622368998267     All      -0.00017993339426804693    -0.00021150969022514982    -0.0007341184547204109     -4.304577337257304e-05    
MWEBV         All|All|All                                All                   All      -0.7273082474691344        -3.798892425882805         0.06247184625865381        -0.9977281874515425       
Redshift      All|All|All                                All                   All      6.533503445725236          -0.9877942906127757        13.165845359930628         -1.862402906197888        
