#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3364.3588785169854    All      -0.028133918857682995      0.028402380315739606       0.09442323199899683        0.02262940780367595       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             7697.479495853258     All      0.08509825008920721        -0.042826002772322624      0.055563792545509916       -0.039189580873874585     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5080.769838987888     All      0.0661833398456696         0.15246803199211456        0.24785517760325115        0.03916640113292846       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5029.018249220452     All      -0.03264090055611918       0.37683906571688297        -0.13494388260943957       0.12735917079984005       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7143.964912594977     All      0.34324360075895205        -0.0997557904130808        0.30453479334102695        -0.13070948680270755      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4497.232463097596     All      -0.3526091091095661        0.23282604080572256        -0.24749079280773634       0.17965111117284327       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             5960.30737775429      All      0.301950508418632          -0.11035810638269083       -0.16045085186522368       -0.1414626649859474       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4104.092771742        All      -0.1957721826689526        0.051052681763241736       0.006580882078610628       0.08069265318467883       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5038.159131548075     All      0.0362786899306424         0.12506080368233086        0.18929496955359948        0.037366620384537974      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    5867.779475281481     All      0.3916200169401791         0.04358605265091242        0.164285197316838          -0.10603481832471007      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4116.812923218421     All      -0.37159596112667354       0.09205816981054937        -0.1789341945753753        0.1430423929252106        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4137.188816598221     All      -0.08707161426463253       0.009946366547985974       0.036636502827192          0.03323686700323902       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              5821.456829414112     All      0.4799721517465473         0.2843180738226536         -0.3431534457902341        -0.07904433224663054      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7117.622368998267     All      0.41115267210394424        -0.09765011443381155       0.1424395473979101         -0.1593773838906326       
Check         All|All|All                                All                   All      1.047675543250147          1.0459676531062279         0.17664092701492606        0.007326357282451401      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3364.3588785169854    All      -8.66978861126783e-05      0.0001246728739364772      0.0004029106925476026      8.683046414598603e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I             7697.479495853258     All      9.321786110686708e-08      -1.9503207058228733e-06    2.183958856730646e-06      -5.68187688455258e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5080.769838987888     All      -1.1143486075303148e-05    0.00011055763308200455     -0.00012685411172814204    3.3981141970863924e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5029.018249220452     All      -0.00011897966511810075    0.00035952444454182675     -0.0006186267331566406     0.00012825806098288852    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7143.964912594977     All      -8.541315362461972e-05     -0.0001086060079368359     -0.00024303052707744181    -1.840001189636017e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4497.232463097596     All      -0.0002452140306819125     0.00022339359630528952     -0.0003235390859370441     0.00013820285739864072    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R             5960.30737775429      All      -6.676944985785977e-05     -2.461033788764184e-05     -0.00017689670404839463    5.838522317781065e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4104.092771742        All      -0.0001839102875703347     8.972585615362616e-05      -5.5097897634002086e-05    8.667352825671095e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V             5038.159131548075     All      -9.614900904186287e-06     0.00014380939645350344     -5.5315359662732005e-05    4.7506870711366596e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    5867.779475281481     All      -7.043419588196542e-05     -1.4561755067008111e-06    -0.0003492418857983986     6.883349192470356e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4116.812923218421     All      -0.00036048271131600704    0.00019306163566062867     -0.00029944140113891165    0.00016694491043016445    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4137.188816598221     All      -6.251191747291662e-05     1.2007292068131325e-05     3.0747413572435855e-05     2.5645474006668293e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              5821.456829414112     All      -0.00012763824216556095    -3.601237005698012e-05     -0.000413308441395349      1.1401503464957009e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7117.622368998267     All      -7.55946179304898e-05      -0.00023162459470329734    -0.00033668043055854553    -6.584859796720792e-05    
MWEBV         All|All|All                                All                   All      -0.761267028198028         -3.8025532401556816        0.05491278822360446        -0.9881964690459349       
Redshift      All|All|All                                All                   All      6.784021916615664          -1.3897300165148785        12.221954485570796         -2.1170502177874084       
