#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_N1_R
@MAGSYS  Linear_AB11_off
54358.1  17.439  0.014
54379.12  18.182  0.02
54380.15  18.174  0.02
54391.11  18.534  0.042
54394.0  18.695  0.041
54414.06  19.314  0.08
54422.03  19.478  0.028
54429.93  19.54  0.066
54449.91  20.17  0.087
