#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3205.089398578106     All      -0.39258833851375863      0.09666842901996375       0.16126100284014405       0.16656336316704304        
Zeropoint     AB|MEGACAMPSF|r           4099.528657964377     All      -0.8820777536410602       0.40045182984282945       -0.6359909399883247       0.3893807246597685         
Zeropoint     AB|MEGACAMPSF|i           5020.3684750919365    All      1.444402741823784         0.43885009554873733       0.2978666329641512        -0.3142491588139928        
Zeropoint     AB|MEGACAMPSF|z           5781.39232102625      All      0.8179580879970917        0.06423906641579435       0.1849742213989007        -0.23725653200314267       
Check         All|All|All               All                   All      0.9876947376660569        1.000209420827325         0.00811091721487131       0.004438397009676021       
Lambda        AB|MEGACAMPSF|g           3205.089398578106     All      -0.0010678871411189388    0.00022187415499417965    8.189937875081184e-05     0.00042377247915373936     
Lambda        AB|MEGACAMPSF|r           4099.528657964377     All      -0.0004943590574816784    0.0002293227067047645     -0.000331848166622127     0.0002209180994655412      
Lambda        AB|MEGACAMPSF|i           5020.3684750919365    All      4.757509207936974e-05     -7.397547426367438e-05    -0.0015018583634708235    -0.00010661405932851693    
Lambda        AB|MEGACAMPSF|z           5781.39232102625      All      -8.466599788845259e-05    -4.086846858615115e-06    2.7127736843302903e-06    2.6368339095957892e-05     
MWEBV         All|All|All               All                   All      -0.35630203786110504      -2.246534155096036        0.1600852613587084        -0.6085669174035141        
Redshift      All|All|All               All                   All      5.232874816936946         0.622518634314595         3.4346588152919675        -1.3484716367841538        
