#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3205.089398578106     All      -0.30889694849133953      0.08141038340117035       0.12717240341107994       0.1328110590097159        
Zeropoint     AB|MEGACAMPSF|r           4099.528657964377     All      -0.9418405012587675       0.4266491349584456        -0.5172336114367349       0.42268033597732263       
Zeropoint     AB|MEGACAMPSF|i           5020.3684750919365    All      1.3609139856760204        0.43594571784080216       0.2540521360693243        -0.28995541537254754      
Zeropoint     AB|MEGACAMPSF|z           5781.39232102625      All      0.8817756005827689        0.05572245806266807       0.14456447014921103       -0.26262143651780423      
Check         All|All|All               All                   All      0.9919521365086822        0.9997276942630862        0.008555398192880426      0.002914543096686817      
Lambda        AB|MEGACAMPSF|g           3205.089398578106     All      -0.0010190158005505949    0.0002598296348311675     0.0003009009337769109     0.0004299898577554395     
Lambda        AB|MEGACAMPSF|r           4099.528657964377     All      -0.0006131490684520661    0.00025946260482585614    -0.0003085127282698704    0.00027047082394298044    
Lambda        AB|MEGACAMPSF|i           5020.3684750919365    All      0.00012004815560587778    -6.900837043425293e-05    -0.0016691607880945872    -0.0001360689101006805    
Lambda        AB|MEGACAMPSF|z           5781.39232102625      All      -6.126190462518328e-05    8.627920145499857e-07     4.02789040356159e-05      2.203352003016699e-05     
MWEBV         All|All|All               All                   All      -0.34214812922146276      -2.249939667912493        0.12364869318264304       -0.6159125953501654       
Redshift      All|All|All               All                   All      4.897262018280345         0.3763532915824541        2.9873027431796095        -1.339299104521917        
