#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5666.919145242232     All      0.7322758502877782         0.5021889817918179        -1.2878568675975772       -0.13241799979049784      
Zeropoint     AB|SDSS|SDSS_z            8170.389647403481     All      0.17941527199307322        -0.05647185828721035      0.25445129667695526       -0.0654812060702087       
Zeropoint     AB|SDSS|SDSS_g            4336.813777269077     All      -0.6917058451112794        0.6547882571322106        -0.16741818417185952      0.4311263228051939        
Zeropoint     AB|SDSS|SDSS_u            3298.0885449536536    All      -0.12205138310292007       0.06284366305457922       0.2449870141475733        0.07115904465658529       
Zeropoint     AB|SDSS|SDSS_i            6872.129940198602     All      0.8949937823445056         -0.16553751110333081      0.9605704597505705        -0.30258408484104504      
Check         All|All|All               All                   All      0.9929276764111574         0.9978115325880665        0.0047337188056622015     0.0018020767600276377     
Lambda        AB|SDSS|SDSS_r            5666.919145242232     All      -0.00023954796751582787    2.5889383421606206e-06    -0.001055329780175139     3.177743517068224e-05     
Lambda        AB|SDSS|SDSS_z            8170.389647403481     All      1.519211743274662e-05      -1.528245287873078e-06    3.200048462708918e-05     -4.018337565703088e-06    
Lambda        AB|SDSS|SDSS_g            4336.813777269077     All      -0.0004193049733151119     0.00020122783266219926    -0.0008121235643119322    0.00016588660510311938    
Lambda        AB|SDSS|SDSS_u            3298.0885449536536    All      -9.970371334525573e-05     4.9279445655995485e-05    0.0002067839622206355     5.775653479657273e-05     
Lambda        AB|SDSS|SDSS_i            6872.129940198602     All      -0.0007561855958190929     0.00010847999912227351    -0.0016776316842488958    0.00020678503394112955    
MWEBV         All|All|All               All                   All      -0.8021355350442145        -3.65397847886868         0.3754617530778148        -0.912183936043259        
Redshift      All|All|All               All                   All      7.866798963372477          0.3990099908730116        11.622376489157254        -1.9138512682361308       
