#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5666.919145242232     All      0.8323589555936323        0.42180171671333255        -0.8840815676855351       -0.17318449956130882      
Zeropoint     AB|SDSS|SDSS_z            8170.389647403481     All      0.19486056106063793       -0.050225847106233346      0.235300917660064         -0.06933230698613763      
Zeropoint     AB|SDSS|SDSS_g            4336.813777269077     All      -0.6928089521453191       0.6583817570483319         -0.28934740285948557      0.4272150211732578        
Zeropoint     AB|SDSS|SDSS_u            3298.0885449536536    All      -0.11961445730009578      0.05547369362854937        0.30699619719718463       0.07073180128490536       
Zeropoint     AB|SDSS|SDSS_i            6872.129940198602     All      0.7781782685425782        -0.08673059796109328       0.641370155382992         -0.25310786814859987      
Check         All|All|All               All                   All      0.9929743757514335        0.9987007223228872         0.010238299695219943      0.0023221477621168662     
Lambda        AB|SDSS|SDSS_r            5666.919145242232     All      -0.000318335163381435     6.273393881699746e-06      -0.0015085203252180866    3.841735267369931e-05     
Lambda        AB|SDSS|SDSS_z            8170.389647403481     All      2.3308840230903376e-05    -1.7991063751018146e-06    7.984777628066447e-05     -4.615244708649563e-06    
Lambda        AB|SDSS|SDSS_g            4336.813777269077     All      -0.000336660880483583     0.00013340623360986884     -0.0007587820932207448    0.00011925536394860255    
Lambda        AB|SDSS|SDSS_u            3298.0885449536536    All      -4.790923800007122e-05    2.234953664866935e-05      0.0003830206226829022     3.997804558837074e-05     
Lambda        AB|SDSS|SDSS_i            6872.129940198602     All      -0.0006877076439156637    5.8326772066056415e-05     -0.0015640247287353312    0.00017321271275080774    
MWEBV         All|All|All               All                   All      -0.8536559281024476       -3.6200066189421065        0.3098929867766387        -0.8872623295280976       
Redshift      All|All|All               All                   All      7.541214893677749         0.806003686112966          12.135380322775235        -1.6523335841513276       
