#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5354.085494497432    All      0.1768181330309485         0.7684667640482701        -0.39982442146335256       0.17487709618138186       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4329.353253210324    All      -1.0071817330090314        0.630188307656887         0.155228208216585          0.5402724121145246        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7516.551326598465    All      0.5072735565918671         -0.18057520138281546      0.39675120919099305        -0.20634978577052657      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6169.589068999367    All      1.3152421839928157         -0.2223073080958926       -0.1466235346792605        -0.5073735883842889       
Check         All|All|All                                All                  All      0.9921521406065997         0.995772562226449         0.005531461264964982       0.001426134141091051      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5354.085494497432    All      -0.00015977234222988029    0.0001810044714694498     -0.0009945758567138714     6.661886688258296e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4329.353253210324    All      -0.0002844766107720501     0.0001579083185998548     -0.00015114105618895673    0.0001373545943563576     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7516.551326598465    All      -0.00018733043012198914    7.006930559523255e-05     -0.0003568931641553516     6.79170593576347e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6169.589068999367    All      -0.0004061694799385268     4.3687890275361885e-05    -0.0006809196711398922     0.00011614702777450275    
MWEBV         All|All|All                                All                  All      -0.8670385321454432        -4.0383428142907185       0.058140781899990376       -1.0304035814413606       
Redshift      All|All|All                                All                  All      5.790050527572777          -1.4629937107848434       2.018909490182119          -2.272460468469925        
