#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5354.085494497432    All      -0.8880539705976664      1.4248216246754986         -0.4640402444534564       0.7326716878772122        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4329.353253210324    All      -0.3817778231043298      0.28713276193150783        0.022197364580339718      0.218876750483174         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7516.551326598465    All      0.847950033392985        -0.4373231150971435        0.7629058244184916        -0.3846107656497705       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6169.589068999367    All      1.3858791620236937       -0.2771015127081           -0.4290655869332749       -0.5608347427171506       
Check         All|All|All                                All                  All      0.9639974017146828       0.9975297588017629         -0.10800264238789992      0.006102929993465067      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5354.085494497432    All      -0.00074258613783515     0.0008179898018750618      -0.000743604249156104     0.0004751472825979888     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4329.353253210324    All      -0.000248925583439439    0.0002044972235861056      4.7157915657812786e-05    0.00014979916660282246    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7516.551326598465    All      -0.000312254518722785    0.00010481693126456094     -0.0004587252155221724    0.00011538309298397664    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6169.589068999367    All      3.217429504310618e-05    -3.9218704567100324e-05    -0.0004549712153806527    -4.355832446819411e-05    
MWEBV         All|All|All                                All                  All      -0.7894278639574801      -4.094877644382855         0.03859600379370054       -1.0749713771679603       
Redshift      All|All|All                                All                  All      6.972496219316498        -4.837634963101856         -0.880218614594952        -3.886228381960216        
