#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6362.999222498414     All      0.418140850611771          -0.01705795931727927       0.21136996569230135        -0.13232609922775407       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5394.99211075469      All      0.1946101886356239         0.10122838315180793        0.142523037507155          -0.024057377636917184      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8249.461431686219     All      0.08094855047274586        -0.007972899579433701      0.06359512575888901        -0.026126683330036406      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4406.401244094605     All      -0.03175428365211169       0.02584774980807225        -0.004012933920042805      0.01858379853848146        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_R               6877.927753898538     All      0.5235516998048273         -0.07113849528517235       -0.019596541008814326      -0.19458466488866685       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5395.000360856919     All      0.054094218326255786       0.01128506325134282        -0.14173684399540848       -0.020269414561004537      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6363.004661349937     All      0.09602334241609548        -0.03807293139796997       -0.20215773431971035       -0.05270093922340904       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_I               8333.13392047674      All      0.18342934209047265        -0.03800312279498286       0.008600911147687783       -0.07174401956293885       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3669.618921233468     All      -0.1400205449272029        0.053110012270929374       -0.1154911324918946        0.05775513747450903        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_B               4422.6481048453115    All      -0.6189429767165365        0.538787438272692          0.20795607168778887        0.3863910087330475         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8249.463091895508     All      0.0495329233893306         -0.02194300232272184       -0.06832694886502666       -0.026331178406045957      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_V               5417.782883262001     All      0.4859085006106048         0.2891571087164646         0.15285655890795655        -0.057267115089169436      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3669.6072485015497    All      -0.024688184967935532      0.011305550819873389       -0.015426240159832506      0.011035941656648817       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4406.409498086187     All      -0.27485461774963127       0.1604154398211044         -0.2209957359257552        0.13191975301267336        
Check         All|All|All                                  All                   All      0.9959790083443094         0.9969483354147268         -0.0008424399847062891     0.0002781474894178182      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6362.999222498414     All      -9.79817986314974e-05      6.744430262622401e-06      -3.8752661901658596e-05    3.238342482527445e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5394.99211075469      All      5.424144228629011e-05      2.4607503384741842e-05     9.926972832519307e-06      -9.20975362328766e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8249.461431686219     All      -1.056879727848522e-06     2.980041569316182e-07      9.460410734150553e-08      4.455520024384126e-07      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4406.401244094605     All      -2.7929998728016985e-05    2.2990341287737707e-05     -3.451981513662337e-06     1.6432383891981417e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_R               6877.927753898538     All      -0.00012665387744083647    -3.4778418741961256e-05    -0.00035355679684534637    1.4149243495460185e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5395.000360856919     All      5.05877397940921e-05       9.47593029783109e-06       -0.0001307333836601734     -1.9225499367330544e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6363.004661349937     All      -1.2544336927120163e-05    5.02887397495328e-06       2.6298202150592396e-05     6.897740910978698e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_I               8333.13392047674      All      -2.541401452080706e-05     -1.3928437705749647e-07    -1.7103814411751446e-05    7.469546439524305e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3669.618921233468     All      -0.00038018636899277836    0.00014402880276259854     -0.00031524882333940887    0.00015668602050745208     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_B               4422.6481048453115    All      -0.00022929933598921171    1.6138330473073173e-05     -0.0007067405179710859     4.8408539250894495e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8249.463091895508     All      3.812759894313084e-06      -1.6767131970675645e-06    -5.147663203758369e-06     -2.0178185505848683e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K1_V               5417.782883262001     All      6.989774103937285e-05      -0.00010315626555427844    -0.0008891506938766581     -9.604809500154836e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3669.6072485015497    All      -6.992955856015605e-05     3.177120435506706e-05      -4.515107439094813e-05     3.111239925852222e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4406.409498086187     All      -0.0001657544443843146     8.329046562222374e-05      -0.0002035952868091704     7.203659795233942e-05      
MWEBV         All|All|All                                  All                   All      -0.9000117014614406        -4.093174579481484         -0.07518194824185405       -1.0434732263612958        
Redshift      All|All|All                                  All                   All      4.773051303727831          -0.2831449895244198        0.41492689924210796        -1.6284531948065415        
