#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6362.999222498414     All      0.35833070175309173        -0.02048214716783292       0.20605195511992358        -0.11419665507149679       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5394.99211075469      All      0.1915489372137157         0.1188323525089352         0.1390038917371772         -0.017483078676477914      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8249.461431686219     All      0.08955997286662434        -0.00671759518757753       0.09927259697594115        -0.02693069129267034       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4406.401244094605     All      -0.03928592726529283       0.026999669726457398       -0.013219573962741649      0.021001470800929845       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_R               6877.927753898538     All      0.5834813425169717         -0.0822363901918699        0.05244635779551032        -0.21450572693513248       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5395.000360856919     All      0.0304821844953854         0.006128792148807349       -0.17129680691952975       -0.015576890845131475      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6363.004661349937     All      0.09349155639478368        -0.04949674626395506       -0.28981667339763595       -0.05950918140528172       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_I               8333.13392047674      All      0.23108923703372958        -0.048945474819817036      0.02835487997639996        -0.08995117045497714       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3669.618921233468     All      -0.1541338774798014        0.055936548360158156       -0.14630050041225529       0.06189812940829986        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_B               4422.6481048453115    All      -0.696588644235212         0.5808279267238703         0.19760530428841738        0.42491482008032433        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8249.463091895508     All      0.046213875638341825       -0.025062153484700644      -0.09533823089772353       -0.027471454969391074      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_V               5417.782883262001     All      0.5007078715137261         0.3061424457294848         0.2454579101167087         -0.052422701009202655      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3669.6072485015497    All      -0.0215829578493703        0.008476437787230395       -0.017700182592084168      0.009001456228496796       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4406.409498086187     All      -0.2857358149043164        0.14409316496415414        -0.30116089610301433       0.12657001208545848        
Check         All|All|All                                  All                   All      0.927578457692377          1.0144968308333446         -0.06663996827490637       0.025338337943747735       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6362.999222498414     All      -7.237586985984291e-05     6.845282112453622e-06      -1.9488774740688585e-05    2.4935240987889967e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5394.99211075469      All      8.13428664830488e-05       4.1162114451150885e-05     2.2194197676497568e-05     -1.2097767736227281e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8249.461431686219     All      2.7947038770052568e-06     9.643506494251829e-07      9.37878452484801e-06       -1.7767418491071546e-07    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4406.401244094605     All      -4.289668018176087e-05     3.0084312191536933e-05     -1.3646782526973473e-05    2.316331699254151e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_R               6877.927753898538     All      -0.00011635049557221684    -3.56935084193818e-05      -0.00039623521203612205    8.590476581070464e-06      
