#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7585.80028375004     All      0.2495035156277134         -0.04971141623166808      0.18360677470054543       -0.0892706201059957        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5395.018190066       All      0.2377291540562996         0.22731533906932277       -0.09194414172285277      -0.0074951669065171506     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4426.046663486339    All      -0.4980084813849073        0.3584308570001138        0.0039769952263023906     0.2791479435605943         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4409.873066265825    All      -0.5929074502404775        0.4312441920582444        0.02099146101395867       0.3345366359796854         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5352.894166246397    All      0.1689900930479556         0.21975528450122184       -0.1963648837954919       0.0077730300890175436      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6327.742886919942    All      0.5503264614013268         -0.08623428232397146      -0.1527732550609999       -0.2141663451689431        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7840.21721928109     All      0.18566235376888537        -0.04764091647371238      0.04385916195484112       -0.07403731760742167       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6190.938135944164    All      0.6957918774426651         -0.056889196959142296     0.18855657938037368       -0.2367585742757968        
Check         All|All|All                                All                  All      0.9970875237194612         0.9962698606404086        -9.130830332326756e-05    -0.0002704144353771476     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7585.80028375004     All      -6.37425542074788e-05      9.959896543042306e-06     -7.932313982886104e-05    2.0467485535494188e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5395.018190066       All      -4.011866996710652e-05     2.8580844813997473e-05    -0.000402098460115594     4.433884607579028e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4426.046663486339    All      -0.00014323816268944307    4.3147608277236745e-05    -0.0003868378325030468    4.3449181730867236e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4409.873066265825    All      -0.0001669506388085541     -8.061725735953034e-06    -0.0007262061349391595    1.9348101819523185e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5352.894166246397    All      -3.502306842138121e-05     1.0518929695449606e-05    -0.000775377884138931     -1.9767026713421086e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6327.742886919942    All      -0.0001823393925909266     -6.120135029973354e-07    -0.0003314547239414819    4.440328400910301e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7840.21721928109     All      6.756282976224841e-07      3.7296911956598073e-06    5.4169349406414544e-05    3.41213803476095e-06       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6190.938135944164    All      -0.0001799338353307369     1.1208314262001611e-05    -0.0002017616406673963    5.325759114700496e-05      
MWEBV         All|All|All                                All                  All      -0.8456239882577075        -4.090069691112941        0.05231394129162417       -1.054488173582502         
Redshift      All|All|All                                All                  All      4.121986095323276          0.16397736096829263       1.5922479367664055        -1.2181989469113963        
