#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7585.80028375004     All      0.2518056534430476         -0.05169763191106291      0.17340403514670708        -0.0911227793286683        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5395.018190066       All      0.2398416393276876         0.2209153792196883        -0.03171875587353189       -0.007580367968297456      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4426.046663486339    All      -0.5419274996492051        0.38293956247987815       -0.020621169654421945      0.3003394012659373         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4409.873066265825    All      -0.6033094518304909        0.4339760125124048        0.01126530037705629        0.3383807200307989         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5352.894166246397    All      0.17201595613142956        0.2222420195649999        -0.20442731003920844       0.007237629302344878       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6327.742886919942    All      0.5917574457048469         -0.10048046568247315      -0.18539789833120116       -0.2337581183904543        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7840.21721928109     All      0.19866926385178735        -0.05147781026750842      0.05142192857427678        -0.07918640713505533       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6190.938135944164    All      0.6879434446940876         -0.059611400897496836     0.2075033316546202         -0.23424328636967479       
Check         All|All|All                                All                  All      0.9967964516731906         0.9968056650184298        0.0014294618542969595      6.679140693088836e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7585.80028375004     All      -5.9715843894907364e-05    1.05412631345999e-05      -6.410110382028894e-05     2.002451329189827e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5395.018190066       All      1.9487068569508827e-05     1.5760079706378265e-05    -0.00037496083260278996    -1.7946782713261494e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4426.046663486339    All      -0.00018746641321804746    6.614755067003564e-05     -0.00038340593405790195    6.550076577268747e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4409.873066265825    All      -0.00018057271996996008    6.143725360750935e-06     -0.0006897816478521652     3.003790214168221e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5352.894166246397    All      -2.75435392385807e-05      1.5439946483072157e-05    -0.0007670227798535769     -2.0227568442438822e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6327.742886919942    All      -0.0001936900396064775     6.110870441331151e-06     -0.0003496597037749905     4.9478023006721483e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7840.21721928109     All      -1.0547229902454566e-06    4.824327046133251e-06     5.7035776496354946e-05     4.4602447610356145e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6190.938135944164    All      -0.00015314568034253582    6.152106286672282e-06     -0.00016199781447833014    4.4659311415529927e-05     
MWEBV         All|All|All                                All                  All      -0.8498266393154852        -4.090496012055622        0.03848515533469937        -1.0538752138303855        
Redshift      All|All|All                                All                  All      4.012072037139361          0.022117430472201605      1.5738476164548585         -1.2294258902973432        
