#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4823.895808631394    All      3.9298748981901115        0.5761685546515238        0.9316024539873791        -1.0508393509258362      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4028.302150840968    All      -2.9365839665879343       0.425398307804592         -0.9344160302528159       1.0534095368885636       
Check         All|All|All                            All                  All      0.9932909316021779        1.0015668624561158        -0.002813576265436879     0.0025701859627274004    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4823.895808631394    All      -0.00090927358101668      -0.0002058134336356706    -0.0007765312433368301    0.0001944870902423009    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4028.302150840968    All      -0.0012671861398433927    9.843856198692018e-05     -0.00142042060503526      0.0003814420452574861    
MWEBV         All|All|All                            All                  All      -0.06865766075123014      -2.0414387951428026       0.02364606039777506       -0.641544502969732       
Redshift      All|All|All                            All                  All      1.7225386796661812        0.317895563386017         1.7262510854846314        -0.3805038167976449      
