#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4823.895808631394    All      3.946766044922679          0.5231087700627413         0.34677956582825076       -1.099722630078654       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4028.302150840968    All      -2.9544159321608117        0.4793462965151818         -0.34381354732957475      1.103146505762815        
Check         All|All|All                            All                  All      0.9923501127618676         1.002455066577923          0.002966018498676004      0.0034238756841609153    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4823.895808631394    All      -0.00042415897801074325    -0.00015596837369728317    -0.0013430688654285062    2.742350806180935e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4028.302150840968    All      -0.0015576786842348557     0.00016698430221007764     -0.001282855054378018     0.0005045315452752915    
MWEBV         All|All|All                            All                  All      -0.06326105390108627       -2.0426021324000843        0.016031347444595338      -0.6440211022472602      
Redshift      All|All|All                            All                  All      3.2298846207835297         0.12867325834502452        3.790068440846212         -0.8410332202093076      
