#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4207.023579733936     All      -1.0464708720514706        0.7245938301342569        0.20709351464387277        0.5861356722123577        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    7939.582340367702     All      0.4910755391280559         -0.1565341404822007       1.1768271145712386         -0.1584313892228003       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6096.2301528980615    All      1.252934695988352          0.1543328223844398        -1.5184511142797004        -0.42561227239746946      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5188.4176451565745    All      0.2976686341707756         0.2803876496872526        0.10650891906583068        -0.0008759812936495761    
Check         All|All|All                                    All                   All      0.9952079972357128         1.0027801617237486        -0.028021565998758297      0.0012160292984383912     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4207.023579733936     All      -0.0007239280180570942     0.00023096004505094846    -0.0010235301340401257     0.00026536300806011254    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    7939.582340367702     All      -2.6048869271794295e-07    4.122052823340693e-05     -0.00016391706677941202    6.196866051252581e-06     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6096.2301528980615    All      -0.00034379526923214665    8.448451367553066e-05     -0.0006912482825285105     0.00010865757921865518    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5188.4176451565745    All      4.133313415612072e-05      0.0001911016986028657     -0.0018383862177632794     -3.325418481655515e-05    
MWEBV         All|All|All                                    All                   All      -0.7531159543811525        -3.91085096090249         0.2813043719858677         -1.0160248558824996       
Redshift      All|All|All                                    All                   All      8.302192841575637          -2.3237996322312604       19.378272835695363         -2.5964720180184475       
