#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4207.023579733936     All      -1.005881290384754        0.7470032430384244        0.21699790257579954       0.5806557804808022        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    7939.582340367702     All      0.5335741989692524        -0.1833116762541387       1.1865702841917236        -0.18056213234173452      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6096.2301528980615    All      1.232087392611478         0.23206510432762784       -1.2636636646195298       -0.3821316646047967       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5188.4176451565745    All      0.22133281348267558       0.2296390536760562        -0.30097234588533084      -0.010725397782706744     
Check         All|All|All                                    All                   All      0.9811131146786523        1.0253957247879697        -0.16106782373733752      0.007236585751564287      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4207.023579733936     All      -0.0009031272043435156    0.0004492135965581075     -0.002435485393829564     0.00033181736219771104    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    7939.582340367702     All      -1.455467064575743e-05    5.749117131167355e-05     -0.0002963531308213806    1.024282183547291e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6096.2301528980615    All      -0.0002743612635556841    4.853876200750776e-05     -0.0005428202958286541    8.095558470184568e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5188.4176451565745    All      2.731990418724987e-05     0.00023664389006996375    -0.0017471784009705155    -9.784838778582006e-06    
MWEBV         All|All|All                                    All                   All      -0.7392387683663566       -3.9170688953271693       0.2600216110960618        -1.023520249589789        
Redshift      All|All|All                                    All                   All      7.964948334390819         -2.721457081671552        18.194249546392673        -2.6689880222171256       
