#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8466.352693825194    All      0.4139059663937462         -0.11191830486447785       0.08250763308803588       -0.16759632753262643       
Zeropoint     AB|PS|PS_g                4789.4075790446      All      -1.0962585207026574        1.262427380430431          -0.043493188213050704     0.7663606952273291         
Zeropoint     AB|PS|PS_i                7366.888705570214    All      0.5440331419857727         -0.10947497152624663       0.2845373680261831        -0.20017149644704635       
Zeropoint     AB|PS|PS_r                6082.222492062249    All      1.133753265703616          -0.043083333124904755      -0.3347241049088012       -0.39827159648241905       
Check         All|All|All               All                  All      0.9954338533804776         0.9979507709148017         -0.011172292007632922     0.00032127476523724496     
Lambda        AB|PS|PS_z                8466.352693825194    All      0.0004594673999834832      -0.00011649963712588609    0.00022377116767738798    -0.00017762553326956584    
Lambda        AB|PS|PS_g                4789.4075790446      All      -0.0005317775071691442     0.00029798576351461954     -0.0015204216557458139    0.00020243176021061474     
Lambda        AB|PS|PS_i                7366.888705570214    All      -0.00010357497577338555    -2.894888276145465e-05     -0.0005750611329817392    -1.3541635852011e-06       
Lambda        AB|PS|PS_r                6082.222492062249    All      -4.082607366549859e-05     -3.4061156066814994e-05    -0.0006322048511828247    -2.6008842675362668e-05    
MWEBV         All|All|All               All                  All      -0.6777710964304191        -4.064638951670574         0.0724594736390749        -1.0999807515803262        
Redshift      All|All|All               All                  All      4.08845905076337           0.9914515693464132         5.025527955296682         -0.7845309939873979        
