#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3038.8697788503896    All      -0.28086355526399126      0.01834457546756596        0.15068816077753455       0.10418645236419527        
Zeropoint     AB|MEGACAMPSF|i           4765.0427752562455    All      3.1225387089932384        0.65034416487606           1.3012453811844016        -0.7472064908452494        
Zeropoint     AB|MEGACAMPSF|r           3889.5075930204603    All      -1.8581002224934628       0.33815053161632136        -0.8193996577546714       0.6788250817581089         
Zeropoint     AB|MEGACAMPSF|z           5485.086456617581     All      -0.018306444747056866     -0.005659687443149153      -0.6067598649559414       -0.02295744110588152       
Check         All|All|All               All                   All      0.9652684864887275        1.0011795845167981         0.025774019251323388      0.012847602171173284       
Lambda        AB|MEGACAMPSF|g           3038.8697788503896    All      -0.0008124100956688016    3.923372736091051e-05      -0.0001400569659371591    0.00027115831227893206     
Lambda        AB|MEGACAMPSF|i           4765.0427752562455    All      -0.000813173297693753     -0.00015557331506980195    -0.0019243656057954283    0.00012832635004233792     
Lambda        AB|MEGACAMPSF|r           3889.5075930204603    All      -0.00179515952218679      0.0003468536459298891      -0.0014439177674291396    0.0006332887407097352      
Lambda        AB|MEGACAMPSF|z           5485.086456617581     All      -9.449497457121642e-06    -2.7523524736532453e-06    -0.0003031029983434653    -1.1344614263708912e-05    
MWEBV         All|All|All               All                   All      -0.28664725469366115      -2.099506296638154         0.22995286402346382       -0.5802460910662145        
Redshift      All|All|All               All                   All      3.150798434414291         0.01901950329887825        6.526792397312797         -0.7288626621119086        
