#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3038.8697788503896    All      -0.24511357658215618      0.015868331826851545       0.07818258058260015        0.08849932311036611        
Zeropoint     AB|MEGACAMPSF|i           4765.0427752562455    All      3.166734064523789         0.6569762784053523         1.610304451706555          -0.7456501876985794        
Zeropoint     AB|MEGACAMPSF|r           3889.5075930204603    All      -1.9321607865467099       0.3343264860919959         -1.0820596956023218        0.6899821154205824         
Zeropoint     AB|MEGACAMPSF|z           5485.086456617581     All      -0.0238565830140495       -0.006120694595068699      -0.5943040940326384        -0.02074389982524126       
Check         All|All|All               All                   All      0.9656031183808732        1.001050401729131          0.012123242654194955       0.012087351007127892       
Lambda        AB|MEGACAMPSF|g           3038.8697788503896    All      -0.0007745322380651278    4.010782242867892e-05      -0.00018527313823325263    0.00025708717933415346     
Lambda        AB|MEGACAMPSF|i           4765.0427752562455    All      -0.0007746364019729441    -0.00014717101755435045    -0.0021465734299974085     0.00010859440537750772     
Lambda        AB|MEGACAMPSF|r           3889.5075930204603    All      -0.001782900288085339     0.0003250922570504086      -0.0016501723938218596     0.0006130029078769228      
Lambda        AB|MEGACAMPSF|z           5485.086456617581     All      -1.525466469135362e-05    -3.933901821539204e-06     -0.00037783568766781275    -1.3173526495334183e-05    
MWEBV         All|All|All               All                   All      -0.2836850819400576       -2.099733344413579         0.17835720881695794        -0.5835874022363513        
Redshift      All|All|All               All                   All      3.176053732369728         0.02605145124707775        7.091411886889529          -0.7096022321233826        
