#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                6084.475079239146    All      1.234359146236355          -0.05180097333887801       -0.7351341591256043        -0.4517503255294596       
Zeropoint     AB|PS|PS_g                4791.181364550074    All      -1.1432530193794288        1.2441205385116838         0.0565317459510859         0.7801688622431308        
Zeropoint     AB|PS|PS_z                8469.488257763882    All      0.29037704462095204        -0.06879397176273727       -0.05281237964932851       -0.11935059035688839      
Zeropoint     AB|PS|PS_i                7369.617076499335    All      0.6178059981138673         -0.1241293000081356        0.7311294132837195         -0.2090457877857112       
Check         All|All|All               All                  All      0.9992891695917457         0.9993962934019329         -0.0002853795401274173     2.2158571071573263e-05    
Lambda        AB|PS|PS_r                6084.475079239146    All      -0.0002411241803183823     1.3728251658472749e-05     -0.0007212167628818484     5.082922979219603e-05     
Lambda        AB|PS|PS_g                4791.181364550074    All      -0.00031490405179290045    -8.013039374003383e-05     -0.0015498587786851278     7.310425202932939e-06     
Lambda        AB|PS|PS_z                8469.488257763882    All      0.0004729969321389635      -0.00010946713772725377    -2.8023827093610657e-05    -0.0001909782847485479    
Lambda        AB|PS|PS_i                7369.617076499335    All      -0.00016387203635644552    2.239922921828194e-05      -0.0008497356711372624     2.2754879032222313e-05    
MWEBV         All|All|All               All                  All      -0.7127824195387586        -4.054361052015398         0.07027307598685871        -1.0853261306405344       
Redshift      All|All|All               All                  All      4.805144534941986          1.3171656250881014         12.297197757132924         -0.5873820251226953       
